INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
2200,策马同游,人脉,与一个玩家的友好度达到1000点,达标,友好度,1000,5,,,,,,,,2,,
2201,肝胆相照,人脉,与一个玩家的友好度达到2000点,达标,友好度,2000,5,,,,,,,,2,,
2202,金兰之契,人脉,与一个玩家的友好度达到5000点,达标,友好度,5000,5,,,,,,,,2,,
2203,莫逆之交,人脉,与一个玩家的友好度达到10000点,达标,友好度,10000,10,,,,,,,,2,,
2204,生死不离,人脉,与一个玩家的友好度达到20000点,达标,友好度,20000,10,,,,,,,,2,,
2205,山盟海誓,人脉,与一个玩家的友好度达到50000点,达标,友好度,50000,20,,,,,,,,2,,
2206,海枯石烂,人脉,与一个玩家的友好度达到100000点,达标,友好度,100000,20,,,,,,,,2,,
2300,萍水相逢·礼物,人脉,赠送1个礼物,送花,赠送礼物,1,5,,,,,,,,2,,
2400,君子之交·礼物,人脉,赠送10个礼物,送花,赠送礼物,10,5,,,,,,,,2,,
2401,相见恨晚·礼物,人脉,赠送20个礼物,送花,赠送礼物,20,5,,,,,,,,2,,
2402,策马同游·礼物,人脉,赠送50个礼物,送花,赠送礼物,50,5,,,,,,,,2,,
2403,肝胆相照·礼物,人脉,赠送100个礼物,送花,赠送礼物,100,5,,,,,,,,2,,
2404,金兰之契·礼物,人脉,赠送200个礼物,送花,赠送礼物,200,5,,,,,,,,2,,
2405,莫逆之交·礼物,人脉,赠送500个礼物,送花,赠送礼物,500,10,,,,,,,,2,,
2406,生死不离·礼物,人脉,赠送1000个礼物,送花,赠送礼物,1000,10,,,,,,,,2,,
2407,山盟海誓·礼物,人脉,赠送2000个礼物,送花,赠送礼物,2000,20,,,,,,,,2,,
2408,海枯石烂·礼物,人脉,赠送5000个礼物,送花,赠送礼物,5000,20,,,,,,,,2,,
2500,萍水相逢·结义,人脉,与4个玩家的友好度达到100点,达标,4人友好度,100,5,,,,,,,,2,,
2600,君子之交·结义,人脉,与4个玩家的友好度达到200点,达标,4人友好度,200,5,,,,,,,,2,,
2700,相见恨晚·结义,人脉,与4个玩家的友好度达到500点,达标,4人友好度,500,5,,,,,,,,2,,
2800,策马同游·结义,人脉,与4个玩家的友好度达到1000点,达标,4人友好度,1000,5,,,,,,,,2,,
2801,肝胆相照·结义,人脉,与4个玩家的友好度达到2000点,达标,4人友好度,2000,5,,,,,,,,2,,
2802,金兰之契·结义,人脉,与4个玩家的友好度达到5000点,达标,4人友好度,5000,5,,,,,,,,2,,
2803,莫逆之交·结义,人脉,与4个玩家的友好度达到10000点,达标,4人友好度,10000,10,,,,,,,,2,,
2804,生死不离·结义,人脉,与4个玩家的友好度达到20000点,达标,4人友好度,20000,10,,,,,,,,2,,
2805,山盟海誓·结义,人脉,与4个玩家的友好度达到50000点,达标,4人友好度,50000,20,,,,,,,,2,,
2806,海枯石烂·结义,人脉,与4个玩家的友好度达到100000点,达标,4人友好度,100000,20,,,,,,,,2,,
2900,登堂入室,综合,主体达到10级,达标,主体等级,10,5,,,,,,,,2,,
3000,出入由心,综合,主体达到20级,达标,主体等级,20,5,,,,,,,,2,,
3100,天地造化,综合,主体达到30级,达标,主体等级,30,5,,,,,,,,2,,
3200,悟道玄妙,综合,主体达到40级,达标,主体等级,40,5,,,,,,,,2,,
3300,生死轮回,综合,主体达到50级,达标,主体等级,50,5,,,,,,,,2,,
3301,顿悟解脱,综合,主体达到55级,达标,主体等级,55,5,,,,,,,,2,,
3302,上德无为,综合,主体达到60级,达标,主体等级,60,10,,,,,,,,2,,
3303,出神入化,综合,主体达到65级,达标,主体等级,65,15,,,,,,,,2,,
3304,无上武念,综合,主体达到71级,达标,主体等级,71,20,,,,,,,,2,,
4100,才疏学浅,综合,学习1个技能,达标,主体技能数量,1,5,,,,,,,,2,,
4200,精益求精,综合,学习5个技能,达标,主体技能数量,5,5,,,,,,,,2,,
4300,炉火纯青,综合,学习10个技能,达标,主体技能数量,10,5,,,,,,,,2,,
4400,登峰造极(一),综合,掌握1个专家技能,达标,专家级技能数量,1,5,,,,,,,,2,,
4401,登峰造极(二),综合,掌握5个专家级技能,达标,专家级技能数量,5,10,,,,,,,,2,,
4402,登峰造极(三),综合,掌握10个专家级技能,达标,专家级技能数量,10,20,,,,,,,,2,,
4403,鬼斧神工,综合,学会1个强化技能,达标,对应等级主体强化技能,0,20,,,,,,,,2,,
4500,浅尝辄止,综合,使用1次强化技能灵丹,使用道具,强化技能灵丹;强化技能灵丹1;强化技能灵丹2;强化技能灵丹3;强化技能灵丹4,1,5,,,,,,,,2,,
4501,食髓知味,综合,使用10次强化技能灵丹,使用道具,强化技能灵丹;强化技能灵丹1;强化技能灵丹2;强化技能灵丹3;强化技能灵丹4,10,5,,,,,,,,2,,
4502,欲罢不能,综合,使用100次强化技能灵丹,使用道具,强化技能灵丹;强化技能灵丹1;强化技能灵丹2;强化技能灵丹3;强化技能灵丹4,100,10,,,,,,,,2,,
4600,一帆风顺,装备,使用1次祝福神油,使用道具,祝福神油,1,5,,,,,,,,2,,
4700,十全十美,装备,使用10次祝福神油,使用道具,祝福神油,10,5,,,,,,,,2,,
4800,百炼成钢,装备,使用100次祝福神油,使用道具,祝福神油,100,5,,,,,,,,2,,
4801,千载难逢,装备,使用1000次祝福神油,使用道具,祝福神油,1000,10,,,,,,,,2,,
4802,万事大吉,装备,使用10000次祝福神油,使用道具,祝福神油,10000,20,,,,,,,,2,,
4900,镖卒,活动,完成1次押镖,计数,押镖,1,5,,,,,,,,2,,
5000,镖头,活动,完成5次押镖,计数,押镖,5,5,,,,,,,,2,,
5100,镖师,活动,完成20次押镖,计数,押镖,20,5,,,,,,,,2,,
5200,镖王,活动,完成50次押镖,计数,押镖,50,10,,,,,,,,2,,
5201,镖圣,活动,完成200次押镖,计数,押镖,200,20,,,,,,,,2,,
5202,镖神,活动,完成1000次押镖,计数,押镖,1000,20,,,,,,,,2,,5
5300,王城新兵,综合,完成1次王城诏令,完成王城诏令,ANY,1,5,,,,,,,,2,,
5400,王城老兵,综合,完成10次王城诏令,完成王城诏令,ANY,10,5,,,,,,,,2,,
5500,王城勇士,综合,完成20次王城诏令,完成王城诏令,ANY,20,5,,,,,,,,2,,
5600,王城猛士,综合,完成50次王城诏令,完成王城诏令,ANY,50,5,,,,,,,,2,,
5700,王城校尉,综合,完成100次王城诏令,完成王城诏令,ANY,100,5,,,,,,,,2,,
5800,王城先锋,综合,完成200次王城诏令,完成王城诏令,ANY,200,5,,,,,,,,2,,
5900,王城护军,综合,完成500次王城诏令,完成王城诏令,ANY,500,10,,,,,,,,2,,
5901,王城军侯,综合,完成1000次王城诏令,完成王城诏令,ANY,1000,20,,,,,,,,2,,4
5902,王城都尉,综合,完成2000次王城诏令,完成王城诏令,ANY,2000,20,,,,,,,,2,,
5903,王城将军,综合,完成5000次王城诏令,完成王城诏令,ANY,5000,20,,,,,,,,2,,
6000,寻宝菜鸟,活动,成功挖宝1次,使用藏宝图,ANY,1,5,,,,,,,,2,,
6100,寻宝新秀,活动,成功挖宝10次,使用藏宝图,ANY,10,5,,,,,,,,2,,
6200,寻宝老手,活动,成功挖宝20次,使用藏宝图,ANY,20,5,,,,,,,,2,,
6300,寻宝先锋,活动,成功挖宝50次,使用藏宝图,ANY,50,5,,,,,,,,2,,
6400,寻宝高手,活动,成功挖宝100次,使用藏宝图,ANY,100,5,,,,,,,,2,,
6401,寻宝专家,活动,成功挖宝200次,使用藏宝图,ANY,200,10,,,,,,,,2,,
6402,寻宝大师,活动,成功挖宝500次,使用藏宝图,ANY,500,20,,,,,,,,2,,
6403,寻宝宗师,活动,成功挖宝1000次,使用藏宝图,ANY,1000,20,,,,,,,,2,,
6404,寻宝权威,活动,成功挖宝2000次,使用藏宝图,ANY,2000,20,,,,,,,,2,,
6405,寻宝王者,活动,成功挖宝5000次,使用藏宝图,ANY,5000,5,,,,,,,,2,,
8500,七星珠菜鸟,活动,上交七星珠1次,上交七星珠,ANY,1,5,,,,,,,,2,,
8600,七星珠新秀,活动,上交七星珠5次,上交七星珠,ANY,5,5,,,,,,,,2,,
8700,七星珠老手,活动,上交七星珠10次,上交七星珠,ANY,10,5,,,,,,,,2,,
8800,七星珠先锋,活动,上交七星珠20次,上交七星珠,ANY,20,5,,,,,,,,2,,
8900,七星珠高手,活动,上交七星珠50次,上交七星珠,ANY,50,5,,,,,,,,2,,
8901,七星珠专家,活动,上交七星珠100次,上交七星珠,ANY,100,5,,,,,,,,2,,
8902,七星珠大师,活动,上交七星珠200次,上交七星珠,ANY,200,5,,,,,,,,2,,
8903,七星珠宗师,活动,上交七星珠300次,上交七星珠,ANY,300,5,,,,,,,,2,,
8904,七星珠权威,活动,上交七星珠500次,上交七星珠,ANY,500,10,,,,,,,,2,,
8905,七星珠王者,活动,上交七星珠1000次,上交七星珠,ANY,1000,20,,,,,,,,2,,
9000,活跃菜鸟,活动,活跃度达到100点1次,活跃度达标,ANY,1,5,,,,,,,,2,,
9100,活跃新秀,活动,活跃度达到100点5次,活跃度达标,ANY,5,5,,,,,,,,2,,
9200,活跃老手,活动,活跃度达到100点10次,活跃度达标,ANY,10,5,,,,,,,,2,,
9300,活跃先锋,活动,活跃度达到100点20次,活跃度达标,ANY,20,5,,,,,,,,2,,
9400,活跃高手,活动,活跃度达到100点50次,活跃度达标,ANY,50,5,,,,,,,,2,,
9401,活跃专家,活动,活跃度达到100点100次,活跃度达标,ANY,100,5,,,,,,,,2,,
9402,活跃大师,活动,活跃度达到100点200次,活跃度达标,ANY,200,5,,,,,,,,2,,
9403,活跃宗师,活动,活跃度达到100点300次,活跃度达标,ANY,300,5,,,,,,,,2,,
9404,活跃权威,活动,活跃度达到100点500次,活跃度达标,ANY,500,10,,,,,,,,2,,
9405,活跃王者,活动,活跃度达到100点1000次,活跃度达标,ANY,1000,20,,,,,,,,2,,
9500,满载而归(一),综合,扩充1格包裹,扩充包裹,ANY,1,5,,,,,,,,2,,
9600,满载而归(二),综合,扩充5格包裹,扩充包裹,ANY,5,5,,,,,,,,2,,
9700,满载而归(三),综合,扩充10格包裹,扩充包裹,ANY,10,5,,,,,,,,2,,
9800,满载而归(四),综合,扩充20格包裹,扩充包裹,ANY,20,5,,,,,,,,2,,
9801,满载而归(五),综合,扩充30格包裹,扩充包裹,ANY,30,5,,,,,,,,2,,
9802,满载而归(六),综合,扩充40格包裹,扩充包裹,ANY,40,5,,,,,,,,2,,
9803,满载而归(七),综合,扩充50格包裹,扩充包裹,ANY,50,5,,,,,,,,2,,
9804,满载而归(八),综合,扩充60格包裹,扩充包裹,ANY,60,5,,,,,,,,2,,
9805,满载而归(九),综合,扩充70格包裹,扩充包裹,ANY,70,5,,,,,,,,2,,
9806,满载而归(十),综合,扩充80格包裹,扩充包裹,ANY,80,5,,,,,,,,2,,16
9900,锦衣玉食(一),综合,扩充1格仓库,扩充仓库,ANY,1,5,,,,,,,,2,,
10000,锦衣玉食(二),综合,扩充5格仓库,扩充仓库,ANY,5,5,,,,,,,,2,,
10100,锦衣玉食(三),综合,扩充10格仓库,扩充仓库,ANY,10,5,,,,,,,,2,,
10200,锦衣玉食(四),综合,扩充20格仓库,扩充仓库,ANY,20,5,,,,,,,,2,,
10201,锦衣玉食(五),综合,扩充30格仓库,扩充仓库,ANY,30,5,,,,,,,,2,,
10202,锦衣玉食(六),综合,扩充40格仓库,扩充仓库,ANY,40,5,,,,,,,,2,,
10203,锦衣玉食(七),综合,扩充50格仓库,扩充仓库,ANY,50,5,,,,,,,,2,,
10204,锦衣玉食(八),综合,扩充60格仓库,扩充仓库,ANY,60,5,,,,,,,,2,,
10205,锦衣玉食(九),综合,扩充70格仓库,扩充仓库,ANY,70,5,,,,,,,,2,,
10206,锦衣玉食(十),综合,扩充80格仓库,扩充仓库,ANY,80,5,,,,,,,,2,,17
10300,落霞先锋,活动,参加1次落霞夺宝,进入地图,XIXI0,1,5,,,,,,,,2,,
10400,宝盒终结者,活动,开启1次落霞宝盒,使用道具,宝盒901,1,50,,,,,,,,2,,
10500,首开纪录,综合,第1次完成任务,完成任务,ANY,1,5,,,,,,,,2,,
10600,任务新秀,综合,完成10个任务,完成任务,ANY,10,5,,,,,,,,2,,
10700,任务老手,综合,完成20个任务,完成任务,ANY,20,5,,,,,,,,2,,
10800,任务先锋,综合,完成50个任务,完成任务,ANY,50,5,,,,,,,,2,,
10900,任务高手,综合,完成100个任务,完成任务,ANY,100,5,,,,,,,,2,,
10901,任务专家,综合,完成200个任务,完成任务,ANY,200,5,,,,,,,,2,,
10902,任务大师,综合,完成500个任务,完成任务,ANY,500,5,,,,,,,,2,,
10903,任务宗师,综合,完成1000个任务,完成任务,ANY,1000,10,,,,,,,,2,,
10904,任务权威,综合,完成2000个任务,完成任务,ANY,2000,10,,,,,,,,2,,
10905,任务王者,综合,完成5000个任务,完成任务,ANY,5000,20,,,,,,,,2,,
11000,探索矿洞,综合,探索矿洞内所有地图,进入如下地图,T011;T012;T013;L004,,5,,,,,,,,3,矿区入口;南部矿石运输站;北部矿石运输站;尸王殿,
11100,探索机关洞,综合,探索机关洞内所有地图,进入如下地图,M010;M016;M025;M018,,5,,,,,,,,3,工坊大厅一;中转厅一;角斗场;中枢大殿,
11200,探索将军坟,综合,探索将军坟内所有地图,进入如下地图,H071;H081;H072;H073;H074,,5,,,,,,,,3,将军坟一层;将军坟东一层;将军坟二层;将军坟三层;将军殿,
11300,探索逆魔古刹,综合,探索逆魔古刹内所有地图,进入如下地图,S011;S013;S016;S018;S026,,5,,,,,,,,3,逆魔古刹一层;逆魔古刹二层;逆魔古刹三层;逆魔古刹四层;逆魔大殿,
11400,探索蛇魔殿,综合,探索蛇魔殿内所有地图,进入如下地图,N001;N002;N003;N008,,5,,,,,,,,3,地穴一层;地穴二层;地穴三层;五蛇殿,
11500,探索禁地,综合,探索禁地内所有地图,进入如下地图,J001;J002;J003;J004;J005;J006;J007;J008;J009;J010;J011;J012,,5,,,,,,,,3,禁地之门;招月池;寒冰走廊;冰石之地;青玉宫;生死门;九不回;黑暗轮回;尸上行;魔穴;结界;封印之地,
11600,炼狱魔境,综合,探索海岛,进入地图,MH001,1,5,,,,,,,,3,海岛,
11700,尸王挑战者,PVE,去尸王殿击败1次尸王,击杀怪物,尸王9;尸王29;尸王39,1,5,,,,,,,,2,,
11701,尸王扫荡者,PVE,去尸王殿击败5次尸王,击杀怪物,尸王9;尸王29;尸王39,5,5,,,,,,,,2,,
11702,尸王猎杀者,PVE,去尸王殿击败20次尸王,击杀怪物,尸王9;尸王29;尸王39,20,5,,,,,,,,2,,
11703,尸王终结者,PVE,去尸王殿击败100次尸王,击杀怪物,尸王9;尸王29;尸王39,100,5,,,,,,,,2,,7
11800,机关巨兽挑战者,PVE,去中枢大殿击败1次机关巨兽,击杀怪物,机关巨兽,1,10,,,,,,,,2,,
11801,机关巨兽扫荡者,PVE,去中枢大殿击败5次机关巨兽,击杀怪物,机关巨兽,5,5,,,,,,,,2,,
11802,机关巨兽猎杀者,PVE,去中枢大殿击败20次机关巨兽,击杀怪物,机关巨兽,20,5,,,,,,,,2,,
11803,机关巨兽终结者,PVE,去中枢大殿击败100次机关巨兽,击杀怪物,机关巨兽,100,5,,,,,,,,2,,8
11900,尸霸挑战者,PVE,去将军殿击败1次尸霸,击杀怪物,尸霸,1,10,,,,,,,,2,,
11901,尸霸扫荡者,PVE,去将军殿击败5次尸霸,击杀怪物,尸霸,5,5,,,,,,,,2,,
11902,尸霸猎杀者,PVE,去将军殿击败20次尸霸,击杀怪物,尸霸,20,5,,,,,,,,2,,
11903,尸霸终结者,PVE,去将军殿击败100次尸霸,击杀怪物,尸霸,100,10,,,,,,,,2,,9
12000,三头蛇王挑战者,PVE,去五蛇殿击败1次三头蛇王,击杀怪物,三头蛇王,1,5,,,,,,,,2,,
12001,三头蛇王扫荡者,PVE,去五蛇殿击败5次三头蛇王,击杀怪物,三头蛇王,5,5,,,,,,,,2,,
12002,三头蛇王猎杀者,PVE,去五蛇殿击败20次三头蛇王,击杀怪物,三头蛇王,20,5,,,,,,,,2,,
12003,三头蛇王终结者,PVE,去五蛇殿击败100次三头蛇王,击杀怪物,三头蛇王,100,10,,,,,,,,2,,10
12100,逆魔挑战者,PVE,去逆魔大殿击败1次逆魔,击杀怪物,逆魔,1,5,,,,,,,,2,,
12101,逆魔扫荡者,PVE,去逆魔大殿击败5次逆魔,击杀怪物,逆魔,5,5,,,,,,,,2,,
12102,逆魔猎杀者,PVE,去逆魔大殿击败20次逆魔,击杀怪物,逆魔,20,5,,,,,,,,2,,
12103,逆魔终结者,PVE,去逆魔大殿击败100次逆魔,击杀怪物,逆魔,100,10,,,,,,,,2,,11
12200,禁地魔王挑战者,PVE,去魔穴击败1次禁地魔王,击杀怪物,禁地魔王,1,5,,,,,,,,2,,
12201,禁地魔王扫荡者,PVE,去魔穴击败5次禁地魔王,击杀怪物,禁地魔王,5,5,,,,,,,,2,,
12202,禁地魔王猎杀者,PVE,去魔穴击败20次禁地魔王,击杀怪物,禁地魔王,20,5,,,,,,,,2,,
12203,禁地魔王终结者,PVE,去魔穴击败100次禁地魔王,击杀怪物,禁地魔王,100,10,,,,,,,,2,,12
12300,第一滴血,PVP,行会战时击败1个敌对玩家,击杀玩家,敌对行会,1,5,,,,,,,,1,,
12301,大杀特杀,PVP,行会战时击败5个敌对玩家,击杀玩家,敌对行会,5,5,,,,,,,,2,,
12302,暴走,PVP,行会战时击败10个敌对玩家,击杀玩家,敌对行会,10,5,,,,,,,,2,,
12303,无人可挡,PVP,行会战时击败50个敌对玩家,击杀玩家,敌对行会,50,5,,,,,,,,2,,
12304,主宰比赛,PVP,行会战时击败100个敌对玩家,击杀玩家,敌对行会,100,5,,,,,,,,2,,
12305,像神一样,PVP,行会战时击败500个敌对玩家,击杀玩家,敌对行会,500,5,,,,,,,,2,,
12306,超神,PVP,行会战时击败1000个敌对玩家,击杀玩家,敌对行会,1000,5,,,,,,,,2,,
12400,制霸天下,PVP,成为沙城城主,成为沙城城主,ANY,,20,,,,,,,,1,,
12500,望而生畏,PVP,成为沙城行会成员,成为沙城行会会员,ANY,,5,,,,,,,,1,,
12600,天降横财-裁决(一),PVP,击败玩家掉落一把裁决,杀人爆物,裁决,1,5,,,,,,,,2,,
12601,天降横财-裁决(二),PVP,击败玩家掉落5把裁决,杀人爆物,裁决,5,5,,,,,,,,2,,
12602,天降横财-裁决(三),PVP,击败玩家掉落10把裁决,杀人爆物,裁决,10,5,,,,,,,,2,,
12700,天降横财-骨玉(一),PVP,击败玩家掉落一把骨玉,杀人爆物,骨玉,1,5,,,,,,,,2,,
12701,天降横财-骨玉(二),PVP,击败玩家掉落5把骨玉,杀人爆物,骨玉,5,5,,,,,,,,2,,
12702,天降横财-骨玉(三),PVP,击败玩家掉落10把骨玉,杀人爆物,骨玉,10,5,,,,,,,,2,,
12800,天降横财-龙纹(一),PVP,击败玩家掉落一把龙纹,杀人爆物,龙纹,1,5,,,,,,,,2,,
12801,天降横财-龙纹(二),PVP,击败玩家掉落5把龙纹,杀人爆物,龙纹,5,5,,,,,,,,2,,
12802,天降横财-龙纹(三),PVP,击败玩家掉落10把龙纹,杀人爆物,龙纹,10,5,,,,,,,,2,,
12900,劫富济贫-圣战,PVP,击败玩家掉落一套圣战装备,杀人掉落套装,圣战戒指;圣战手镯;圣战头盔;圣战项链;圣战腰带;圣战靴子,1,5,,,,,,,,3,圣战戒指;圣战手镯;圣战头盔;圣战项链;圣战腰带;圣战靴子,
13000,劫富济贫-法神,PVP,击败玩家掉落一套法神装备,杀人掉落套装,法神戒指;法神手镯;法神头盔;法神项链;法神腰带;法神靴子,1,5,,,,,,,,3,法神戒指;法神手镯;法神头盔;法神项链;法神腰带;法神靴子,
13100,劫富济贫-天尊,PVP,击败玩家掉落一套天尊装备,杀人掉落套装,天尊戒指;天尊手镯;天尊头盔;天尊项链;天尊腰带;天尊道靴,1,5,,,,,,,,3,天尊戒指;天尊手镯;天尊头盔;天尊项链;天尊腰带;天尊道靴,
13101,劫富济贫-神武,PVP,击败玩家掉落一套神武装备,杀人掉落套装,神武戒指;神武手镯;神武头盔;神武项链;神武腰带;神武战靴,1,5,,,,,,,,3,神武戒指;神武手镯;神武头盔;神武项链;神武腰带;神武战靴,
13102,劫富济贫-幻魔,PVP,击败玩家掉落一套幻魔装备,杀人掉落套装,幻魔戒指;幻魔手镯;幻魔头盔;幻魔项链;幻魔腰带;幻魔法靴,1,5,,,,,,,,3,幻魔戒指;幻魔手镯;幻魔头盔;幻魔项链;幻魔腰带;幻魔法靴,
13103,劫富济贫-天玄,PVP,击败玩家掉落一套天玄装备,杀人掉落套装,天玄戒指;天玄手镯;天玄头盔;天玄项链;天玄腰带;天玄道靴,1,5,,,,,,,,3,天玄戒指;天玄手镯;天玄头盔;天玄项链;天玄腰带;天玄道靴,
13104,劫富济贫-战神,PVP,击败玩家掉落一套战神装备,杀人掉落套装,战神戒指;战神手镯;战神头盔;战神项链;战神腰带;战神靴子,1,5,,,,,,,,3,战神戒指;战神手镯;战神头盔;战神项链;战神腰带;战神靴子,
13105,劫富济贫-魔神,PVP,击败玩家掉落一套魔神装备,杀人掉落套装,魔神戒指;魔神手镯;魔神头盔;魔神项链;魔神腰带;魔神靴子,1,5,,,,,,,,3,魔神戒指;魔神手镯;魔神头盔;魔神项链;魔神腰带;魔神靴子,
13106,劫富济贫-道神,PVP,击败玩家掉落一套道神装备,杀人掉落套装,道神戒指;道神手镯;道神头盔;道神项链;道神腰带;道神靴子,1,5,,,,,,,,3,道神戒指;道神手镯;道神头盔;道神项链;道神腰带;道神靴子,
13107,劫富济贫-血煞,PVP,击败玩家掉落一套血煞装备,杀人掉落套装,血煞戒指;血煞手镯;血煞头盔;血煞项链;血煞腰带;血煞靴子,1,5,,,,,,,,3,血煞戒指;血煞手镯;血煞头盔;血煞项链;血煞腰带;血煞靴子,
13108,劫富济贫-魔雷,PVP,击败玩家掉落一套魔雷装备,杀人掉落套装,魔雷戒指;魔雷手镯;魔雷头盔;魔雷项链;魔雷腰带;魔雷靴子,1,5,,,,,,,,3,魔雷戒指;魔雷手镯;魔雷头盔;魔雷项链;魔雷腰带;魔雷靴子,
13109,劫富济贫-幽泉,PVP,击败玩家掉落一套幽泉装备,杀人掉落套装,幽泉戒指;幽泉手镯;幽泉头盔;幽泉项链;幽泉腰带;幽泉靴子,1,5,,,,,,,,3,幽泉戒指;幽泉手镯;幽泉头盔;幽泉项链;幽泉腰带;幽泉靴子,
13200,通灵显圣(一),装备,升级1次圣灵技能,升级圣灵技能,ANY,1,5,,,,,,,,2,,
13300,通灵显圣(二),装备,升级5次圣灵技能,升级圣灵技能,ANY,5,5,,,,,,,,2,,
13400,通灵显圣(三),装备,升级10次圣灵技能,升级圣灵技能,ANY,10,5,,,,,,,,2,,
13401,通灵显圣(四),装备,升级20次圣灵技能,升级圣灵技能,ANY,20,5,,,,,,,,2,,
13402,通灵显圣(五),装备,升级50次圣灵技能,升级圣灵技能,ANY,50,5,,,,,,,,2,,
13403,通灵显圣(六),装备,升级100次圣灵技能,升级圣灵技能,ANY,100,5,,,,,,,,2,,
13404,通灵显圣(七),装备,升级200次圣灵技能,升级圣灵技能,ANY,200,5,,,,,,,,2,,
13405,通灵显圣(八),装备,升级300次圣灵技能,升级圣灵技能,ANY,300,5,,,,,,,,2,,
13406,通灵显圣(九),装备,升级500次圣灵技能,升级圣灵技能,ANY,500,10,,,,,,,,2,,
13407,通灵显圣(十),装备,升级1000次圣灵技能,升级圣灵技能,ANY,1000,10,,,,,,,,2,,
13500,刀犬猎人,PVE,去中州击败500只刀犬,击杀怪物,刀犬;刀犬0,500,5,,,,,,,,2,,
13501,刀犬克星,PVE,去中州击败2000只刀犬,击杀怪物,刀犬;刀犬0,2000,20,,,,,,,,2,,
13502,刀犬终结者,PVE,去中州击败10000只刀犬,击杀怪物,刀犬;刀犬0,10000,50,,,,,,,,2,,
13600,棍犬猎人,PVE,去中州击败500只棍犬,击杀怪物,棍犬;棍犬0,500,5,,,,,,,,2,,
13601,棍犬克星,PVE,去中州击败2000只棍犬,击杀怪物,棍犬;棍犬0,2000,20,,,,,,,,2,,
13602,棍犬终结者,PVE,去中州击败10000只棍犬,击杀怪物,棍犬;棍犬0,10000,50,,,,,,,,2,,
13700,鱼人猎人,PVE,去中州击败500只鱼人,击杀怪物,鱼人;鱼人0,500,5,,,,,,,,2,,
13701,鱼人克星,PVE,去中州击败2000只鱼人,击杀怪物,鱼人;鱼人0,2000,20,,,,,,,,2,,
13702,鱼人终结者,PVE,去中州击败10000只鱼人,击杀怪物,鱼人;鱼人0,10000,50,,,,,,,,2,,
13800,巨猿猎人,PVE,去热砂荒漠击败500只巨猿,击杀怪物,巨猿;巨猿0,500,5,,,,,,,,2,,
