INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
6800,锦衣玉食(一),综合,扩充1格仓库,扩充仓库,ANY,1,5,,,,,,,,2,,
6900,锦衣玉食(二),综合,扩充5格仓库,扩充仓库,ANY,5,5,,,,,,,,2,,
7000,锦衣玉食(三),综合,扩充10格仓库,扩充仓库,ANY,10,5,,,,,,,,2,,
7100,锦衣玉食(四),综合,扩充20格仓库,扩充仓库,ANY,20,5,,,,,,,,2,,
7200,锦衣玉食(五),综合,扩充30格仓库,扩充仓库,ANY,30,5,,,,,,,,2,,
7300,锦衣玉食(六),综合,扩充40格仓库,扩充仓库,ANY,40,5,,,,,,,,2,,
7400,锦衣玉食(七),综合,扩充50格仓库,扩充仓库,ANY,50,5,,,,,,,,2,,
7500,锦衣玉食(八),综合,扩充60格仓库,扩充仓库,ANY,60,5,,,,,,,,2,,
7600,宝盒终结者,活动,开启1次落霞宝盒,使用道具,宝盒901,1,5,,,,,,,,2,,
7700,首开纪录,综合,第1次完成任务,完成任务,ANY,1,5,,,,,,,,2,,
7800,任务新秀,综合,完成10个任务,完成任务,ANY,10,5,,,,,,,,2,,
7900,任务老手,综合,完成20个任务,完成任务,ANY,20,5,,,,,,,,2,,
8000,任务先锋,综合,完成50个任务,完成任务,ANY,50,5,,,,,,,,2,,
8100,任务高手,综合,完成100个任务,完成任务,ANY,100,5,,,,,,,,2,,
8200,任务专家,综合,完成200个任务,完成任务,ANY,200,5,,,,,,,,2,,
8300,任务大师,综合,完成500个任务,完成任务,ANY,500,5,,,,,,,,2,,
8400,任务宗师,综合,完成1000个任务,完成任务,ANY,1000,5,,,,,,,,2,,
8500,任务权威,综合,完成2000个任务,完成任务,ANY,2000,5,,,,,,,,2,,
8600,任务王者,综合,完成5000个任务,完成任务,ANY,5000,5,,,,,,,,2,,
8700,探索矿洞,综合,探索矿洞内所有地图,进入如下地图,T011;T012;T013;L004,,5,,,,,,,,3,矿区入口;南部矿石运输站;北部矿石运输站;尸王殿,
8800,探索机关洞,综合,探索机关洞内所有地图,进入如下地图,M010;M016;M025;M018,,5,,,,,,,,3,工坊大厅一;中转厅一;角斗场;中枢大殿,
8900,探索将军坟,综合,探索将军坟内所有地图,进入如下地图,H071;H081;H072;H073;H074,,5,,,,,,,,3,将军坟一层;将军坟东一层;将军坟二层;将军坟三层;将军殿,
9000,探索逆魔古刹,综合,探索逆魔古刹内所有地图,进入如下地图,S011;S013;S016;S018;S026,,5,,,,,,,,3,逆魔古刹一层;逆魔古刹二层;逆魔古刹三层;逆魔古刹四层;逆魔大殿,
9100,探索蛇魔殿,综合,探索蛇魔殿内所有地图,进入如下地图,N001;N002;N003;N008,,5,,,,,,,,3,地穴一层;地穴二层;地穴三层;五蛇殿,
9200,探索禁地,综合,探索禁地内所有地图,进入如下地图,J001;J002;J003;J004;J005;J006;J007;J008;J009;J010;J011;J012,,5,,,,,,,,3,禁地之门;招月池;寒冰走廊;冰石之地;青玉宫;生死门;九不回;黑暗轮回;尸上行;魔穴;结界;封印之地,
9300,尸王挑战者,PVE,去尸王殿击败1次尸王,击杀怪物,尸王9;尸王29;尸王39,1,5,,,,,,,,2,,
9400,尸王扫荡者,PVE,去尸王殿击败5次尸王,击杀怪物,尸王9;尸王29;尸王39,5,5,,,,,,,,2,,
9500,尸王猎杀者,PVE,去尸王殿击败20次尸王,击杀怪物,尸王9;尸王29;尸王39,20,5,,,,,,,,2,,
9600,尸王终结者,PVE,去尸王殿击败100次尸王,击杀怪物,尸王9;尸王29;尸王39,100,5,,,,,,,,2,,
9700,机关巨兽挑战者,PVE,去中枢大殿击败1次机关巨兽,击杀怪物,机关巨兽,1,5,,,,,,,,2,,
9800,机关巨兽扫荡者,PVE,去中枢大殿击败5次机关巨兽,击杀怪物,机关巨兽,5,5,,,,,,,,2,,
9900,机关巨兽猎杀者,PVE,去中枢大殿击败20次机关巨兽,击杀怪物,机关巨兽,20,5,,,,,,,,2,,
10000,机关巨兽终结者,PVE,去中枢大殿击败100次机关巨兽,击杀怪物,机关巨兽,100,5,,,,,,,,2,,
10100,尸霸挑战者,PVE,去将军殿击败1次尸霸,击杀怪物,尸霸,1,5,,,,,,,,2,,
10200,尸霸扫荡者,PVE,去将军殿击败5次尸霸,击杀怪物,尸霸,5,5,,,,,,,,2,,
10300,尸霸猎杀者,PVE,去将军殿击败20次尸霸,击杀怪物,尸霸,20,5,,,,,,,,2,,
10400,尸霸终结者,PVE,去将军殿击败100次尸霸,击杀怪物,尸霸,100,5,,,,,,,,2,,
10500,三头蛇王挑战者,PVE,去五蛇殿击败1次三头蛇王,击杀怪物,三头蛇王,1,5,,,,,,,,2,,
10600,三头蛇王扫荡者,PVE,去五蛇殿击败5次三头蛇王,击杀怪物,三头蛇王,5,5,,,,,,,,2,,
10700,三头蛇王猎杀者,PVE,去五蛇殿击败20次三头蛇王,击杀怪物,三头蛇王,20,5,,,,,,,,2,,
10800,三头蛇王终结者,PVE,去五蛇殿击败100次三头蛇王,击杀怪物,三头蛇王,100,5,,,,,,,,2,,
10900,逆魔挑战者,PVE,去逆魔大殿击败1次逆魔,击杀怪物,逆魔A,1,5,,,,,,,,2,,
11000,逆魔扫荡者,PVE,去逆魔大殿击败5次逆魔,击杀怪物,逆魔A,5,5,,,,,,,,2,,
11100,逆魔猎杀者,PVE,去逆魔大殿击败20次逆魔,击杀怪物,逆魔A,20,5,,,,,,,,2,,
11200,逆魔终结者,PVE,去逆魔大殿击败100次逆魔,击杀怪物,逆魔A,100,5,,,,,,,,2,,
11300,禁地魔王挑战者,PVE,去魔穴击败1次禁地魔王,击杀怪物,禁地魔王,1,5,,,,,,,,2,,
11400,禁地魔王扫荡者,PVE,去魔穴击败5次禁地魔王,击杀怪物,禁地魔王,5,5,,,,,,,,2,,
11500,禁地魔王猎杀者,PVE,去魔穴击败20次禁地魔王,击杀怪物,禁地魔王,20,5,,,,,,,,2,,
11600,禁地魔王终结者,PVE,去魔穴击败100次禁地魔王,击杀怪物,禁地魔王,100,5,,,,,,,,2,,
11700,第一滴血,PVP,行会战时击败1个敌对玩家,击杀玩家,敌对行会,1,5,,,,,,,,1,,
11800,大杀特杀,PVP,行会战时击败5个敌对玩家,击杀玩家,敌对行会,5,5,,,,,,,,2,,
11900,暴走,PVP,行会战时击败10个敌对玩家,击杀玩家,敌对行会,10,5,,,,,,,,2,,
12000,无人可挡,PVP,行会战时击败50个敌对玩家,击杀玩家,敌对行会,50,5,,,,,,,,2,,
12100,主宰比赛,PVP,行会战时击败100个敌对玩家,击杀玩家,敌对行会,100,5,,,,,,,,2,,
12200,像神一样,PVP,行会战时击败500个敌对玩家,击杀玩家,敌对行会,500,5,,,,,,,,2,,
12300,超神,PVP,行会战时击败1000个敌对玩家,击杀玩家,敌对行会,1000,5,,,,,,,,2,,
12400,制霸天下,PVP,成为沙城城主,成为沙城城主,ANY,,5,,,,,,,,1,,
12500,望而生畏,PVP,成为沙城行会成员,成为沙城行会会员,ANY,,5,,,,,,,,1,,
12600,劫富济贫-雷霆怒斩,PVP,击败玩家掉落一把雷霆怒斩,杀人爆物,雷霆怒斩,1,5,,,,,,,,2,,
12700,劫富济贫-雷霆怒斩,PVP,击败玩家掉落5把雷霆怒斩,杀人爆物,雷霆怒斩,5,5,,,,,,,,2,,
12800,劫富济贫-雷霆怒斩,PVP,击败玩家掉落10把雷霆怒斩,杀人爆物,雷霆怒斩,10,5,,,,,,,,2,,
12900,劫富济贫-龙牙利刃,PVP,击败玩家掉落一把龙牙利刃,杀人爆物,龙牙利刃,1,5,,,,,,,,2,,
13000,劫富济贫-龙牙利刃,PVP,击败玩家掉落5把龙牙利刃,杀人爆物,龙牙利刃,5,5,,,,,,,,2,,
13100,劫富济贫-龙牙利刃,PVP,击败玩家掉落10把龙牙利刃,杀人爆物,龙牙利刃,10,5,,,,,,,,2,,
13200,劫富济贫-逍遥无极扇,PVP,击败玩家掉落一把逍遥无极扇,杀人爆物,逍遥无极扇,1,5,,,,,,,,2,,
13300,劫富济贫-逍遥无极扇,PVP,击败玩家掉落5把逍遥无极扇,杀人爆物,逍遥无极扇,5,5,,,,,,,,2,,
13400,劫富济贫-逍遥无极扇,PVP,击败玩家掉落10把逍遥无极扇,杀人爆物,逍遥无极扇,10,5,,,,,,,,2,,
13500,劫富济贫-赤明天帝,PVP,击败玩家掉落一把赤明天帝,杀人爆物,赤明天帝,1,5,,,,,,,,2,,
13600,劫富济贫-赤明天帝,PVP,击败玩家掉落5把赤明天帝,杀人爆物,赤明天帝,5,5,,,,,,,,2,,
13700,劫富济贫-赤明天帝,PVP,击败玩家掉落10把赤明天帝,杀人爆物,赤明天帝,10,5,,,,,,,,2,,
13800,劫富济贫-紫月圣君,PVP,击败玩家掉落一把紫月圣君,杀人爆物,紫月圣君,1,5,,,,,,,,2,,
13900,劫富济贫-紫月圣君,PVP,击败玩家掉落5把紫月圣君,杀人爆物,紫月圣君,5,5,,,,,,,,2,,
14000,劫富济贫-紫月圣君,PVP,击败玩家掉落10把紫月圣君,杀人爆物,紫月圣君,10,5,,,,,,,,2,,
14100,劫富济贫-耀阳圣尊,PVP,击败玩家掉落一把耀阳圣尊,杀人爆物,耀阳圣尊,1,5,,,,,,,,2,,
14200,劫富济贫-耀阳圣尊,PVP,击败玩家掉落5把耀阳圣尊,杀人爆物,耀阳圣尊,5,5,,,,,,,,2,,
14300,劫富济贫-耀阳圣尊,PVP,击败玩家掉落10把耀阳圣尊,杀人爆物,耀阳圣尊,10,5,,,,,,,,2,,
14400,劫富济贫-神武,PVP,击败玩家掉落一套神武装备,杀人掉落套装,神武戒指;神武手镯;神武头盔;神武项链;神武腰带;神武战靴,1,5,,,,,,,,3,神武戒指;神武手镯;神武头盔;神武项链;神武腰带;神武战靴,
14500,劫富济贫-幻魔,PVP,击败玩家掉落一套幻魔装备,杀人掉落套装,幻魔戒指;幻魔手镯;幻魔头盔;幻魔项链;幻魔腰带;幻魔法靴,1,5,,,,,,,,3,幻魔戒指;幻魔手镯;幻魔头盔;幻魔项链;幻魔腰带;幻魔法靴,
14600,劫富济贫-天玄,PVP,击败玩家掉落一套天玄装备,杀人掉落套装,天玄戒指;天玄手镯;天玄头盔;天玄项链;天玄腰带;天玄道靴,1,5,,,,,,,,3,天玄戒指;天玄手镯;天玄头盔;天玄项链;天玄腰带;天玄道靴,
14700,劫富济贫-战神,PVP,击败玩家掉落一套战神装备,杀人掉落套装,战神戒指;战神手镯;战神头盔;战神项链;战神腰带;战神靴子,1,5,,,,,,,,3,战神戒指;战神手镯;战神头盔;战神项链;战神腰带;战神靴子,
14800,劫富济贫-魔神,PVP,击败玩家掉落一套魔神装备,杀人掉落套装,魔神戒指;魔神手镯;魔神头盔;魔神项链;魔神腰带;魔神靴子,1,5,,,,,,,,3,魔神戒指;魔神手镯;魔神头盔;魔神项链;魔神腰带;魔神靴子,
14900,劫富济贫-道神,PVP,击败玩家掉落一套道神装备,杀人掉落套装,道神戒指;道神手镯;道神头盔;道神项链;道神腰带;道神靴子,1,5,,,,,,,,3,道神戒指;道神手镯;道神头盔;道神项链;道神腰带;道神靴子,
15000,劫富济贫-血煞,PVP,击败玩家掉落一套血煞装备,杀人掉落套装,血煞戒指;血煞手镯;血煞头盔;血煞项链;血煞腰带;血煞靴子,1,5,,,,,,,,3,血煞戒指;血煞手镯;血煞头盔;血煞项链;血煞腰带;血煞靴子,
15100,劫富济贫-魔雷,PVP,击败玩家掉落一套魔雷装备,杀人掉落套装,魔雷戒指;魔雷手镯;魔雷头盔;魔雷项链;魔雷腰带;魔雷靴子,1,5,,,,,,,,3,魔雷戒指;魔雷手镯;魔雷头盔;魔雷项链;魔雷腰带;魔雷靴子,
15200,劫富济贫-幽泉,PVP,击败玩家掉落一套幽泉装备,杀人掉落套装,幽泉戒指;幽泉手镯;幽泉头盔;幽泉项链;幽泉腰带;幽泉靴子,1,5,,,,,,,,3,幽泉戒指;幽泉手镯;幽泉头盔;幽泉项链;幽泉腰带;幽泉靴子,
15300,劫富济贫-蟠龙傲天,PVP,击败玩家掉落一套蟠龙傲天装备,杀人掉落套装,蟠龙傲天戒;蟠龙傲天镯;蟠龙傲天盔;蟠龙傲天链;蟠龙傲天带;蟠龙傲天靴,1,5,,,,,,,,3,蟠龙傲天戒;蟠龙傲天镯;蟠龙傲天盔;蟠龙傲天链;蟠龙傲天带;蟠龙傲天靴,
15400,劫富济贫-蟠龙幻天,PVP,击败玩家掉落一套蟠龙幻天装备,杀人掉落套装,蟠龙幻天戒;蟠龙幻天镯;蟠龙幻天盔;蟠龙幻天链;蟠龙幻天带;蟠龙幻天靴,1,5,,,,,,,,3,蟠龙幻天戒;蟠龙幻天镯;蟠龙幻天盔;蟠龙幻天链;蟠龙幻天带;蟠龙幻天靴,
15500,劫富济贫-蟠龙玄天,PVP,击败玩家掉落一套蟠龙玄天装备,杀人掉落套装,蟠龙玄天戒;蟠龙玄天镯;蟠龙玄天盔;蟠龙玄天链;蟠龙玄天带;蟠龙玄天靴,1,5,,,,,,,,3,蟠龙玄天戒;蟠龙玄天镯;蟠龙玄天盔;蟠龙玄天链;蟠龙玄天带;蟠龙玄天靴,
15600,劫富济贫-圣天,PVP,击败玩家掉落一套圣天装备,杀人掉落套装,圣天戒指;圣天手镯;圣天头盔;圣天项链;圣天腰带;圣天靴子,1,5,,,,,,,,3,圣天戒指;圣天手镯;圣天头盔;圣天项链;圣天腰带;圣天靴子,
15700,劫富济贫-圣魔,PVP,击败玩家掉落一套圣魔装备,杀人掉落套装,圣魔戒指;圣魔手镯;圣魔头盔;圣魔项链;圣魔腰带;圣魔靴子,1,5,,,,,,,,3,圣魔戒指;圣魔手镯;圣魔头盔;圣魔项链;圣魔腰带;圣魔靴子,
15800,劫富济贫-圣道,PVP,击败玩家掉落一套圣道装备,杀人掉落套装,圣道戒指;圣道手镯;圣道头盔;圣道项链;圣道腰带;圣道靴子,1,5,,,,,,,,3,圣道戒指;圣道手镯;圣道头盔;圣道项链;圣道腰带;圣道靴子,
15900,火烈鸟猎人,PVE,去通天之路击败500只火烈鸟,击杀怪物,火烈鸟20,500,5,,,,,,,,2,,
16000,火烈鸟克星,PVE,去通天之路击败2000只火烈鸟,击杀怪物,火烈鸟20,2000,5,,,,,,,,2,,
16100,火烈鸟终结者,PVE,去通天之路击败10000只火烈鸟,击杀怪物,火烈鸟20,10000,5,,,,,,,,2,,
16200,铁翼魔猎人,PVE,去禁地魔窟击败500只铁翼魔,击杀怪物,铁翼魔20,500,5,,,,,,,,2,,
16300,铁翼魔克星,PVE,去禁地魔窟击败2000只铁翼魔,击杀怪物,铁翼魔20,2000,5,,,,,,,,2,,
16400,铁翼魔终结者,PVE,去禁地魔窟击败10000只铁翼魔,击杀怪物,铁翼魔20,10000,5,,,,,,,,2,,
16500,逆魔雕像猎人,PVE,去逆魔迷宫击败500只逆魔雕像,击杀怪物,逆魔雕像70A;逆魔雕像71A;逆魔雕像72A;逆魔雕像73A,500,5,,,,,,,,2,,
16600,逆魔雕像克星,PVE,去逆魔迷宫击败2000只逆魔雕像,击杀怪物,逆魔雕像70A;逆魔雕像71A;逆魔雕像72A;逆魔雕像73A,2000,5,,,,,,,,2,,
16700,逆魔雕像终结者,PVE,去逆魔迷宫击败10000只逆魔雕像,击杀怪物,逆魔雕像70A;逆魔雕像71A;逆魔雕像72A;逆魔雕像73A,10000,5,,,,,,,,2,,
16800,地火兽弓箭手猎人,PVE,去堕落之地击败500只火烈鸟,击杀怪物,地火兽弓箭手20,500,5,,,,,,,,2,,
16900,地火兽弓箭手克星,PVE,去堕落之地击败2000只火烈鸟,击杀怪物,地火兽弓箭手20,2000,5,,,,,,,,2,,
17000,地火兽弓箭手终结者,PVE,去堕落之地击败10000只火烈鸟,击杀怪物,地火兽弓箭手20,10000,5,,,,,,,,2,,
17100,尸卫猎人,PVE,去极寒冰原击败500只尸卫,击杀怪物,尸卫55;尸卫56;尸卫65;尸卫66;尸卫60,500,5,,,,,,,,2,,
17200,尸卫克星,PVE,去极寒冰原击败2000只尸卫,击杀怪物,尸卫55;尸卫56;尸卫65;尸卫66;尸卫60,2000,5,,,,,,,,2,,
17300,尸卫终结者,PVE,去极寒冰原击败10000只尸卫,击杀怪物,尸卫55;尸卫56;尸卫65;尸卫66;尸卫60,10000,5,,,,,,,,2,,
17400,双头暴熊猎人,PVE,去凌霄天界击败500只双头暴熊,击杀怪物,双头暴熊817,500,5,,,,,,,,2,,
17500,双头暴熊克星,PVE,去凌霄天界击败2000只双头暴熊,击杀怪物,双头暴熊817,2000,5,,,,,,,,2,,
17600,双头暴熊终结者,PVE,去凌霄天界击败10000只双头暴熊,击杀怪物,双头暴熊817,10000,5,,,,,,,,2,,
17700,遗忘勇者猎人,PVE,去幽暗海域击败500只遗忘勇者,击杀怪物,遗忘勇者9,500,5,,,,,,,,2,,
17800,遗忘勇者克星,PVE,去幽暗海域击败2000只遗忘勇者,击杀怪物,遗忘勇者9,2000,5,,,,,,,,2,,
17900,遗忘勇者终结者,PVE,去幽暗海域击败10000只遗忘勇者,击杀怪物,遗忘勇者9,10000,5,,,,,,,,2,,
18000,遗忘傀儡猎人,PVE,去失落沉船击败500只遗忘傀儡,击杀怪物,遗忘傀儡9,500,5,,,,,,,,2,,
18100,遗忘傀儡克星,PVE,去失落沉船击败2000只遗忘傀儡,击杀怪物,遗忘傀儡9,2000,5,,,,,,,,2,,
18200,遗忘傀儡终结者,PVE,去失落沉船击败10000只遗忘傀儡,击杀怪物,遗忘傀儡9,10000,5,,,,,,,,2,,
18300,海妖法师猎人,PVE,去海底遗迹击败500只海妖法师,击杀怪物,海妖法师10;海妖法师20,500,5,,,,,,,,2,,
18400,海妖法师克星,PVE,去海底遗迹击败2000只海妖法师,击杀怪物,海妖法师10;海妖法师20,2000,5,,,,,,,,2,,
18500,海妖法师终结者,PVE,去海底遗迹击败10000只海妖法师,击杀怪物,海妖法师10;海妖法师20,10000,5,,,,,,,,2,,
18600,地狱奴猎人,PVE,去桃园击败500只地狱奴,击杀怪物,地狱奴50,500,5,,,,,,,,2,,
18700,地狱奴克星,PVE,去桃园击败2000只地狱奴,击杀怪物,地狱奴50,2000,5,,,,,,,,2,,
18800,地狱奴终结者,PVE,去桃园击败10000只地狱奴,击杀怪物,地狱奴50,10000,5,,,,,,,,2,,
18900,逆鳞勇士猎人,PVE,去霸州击败500只逆鳞勇士,击杀怪物,逆鳞勇士1,500,5,,,,,,,,2,,
19000,逆鳞勇士克星,PVE,去霸州击败2000只逆鳞勇士,击杀怪物,逆鳞勇士1,2000,5,,,,,,,,2,,
19100,逆鳞勇士终结者,PVE,去霸州击败10000只逆鳞勇士,击杀怪物,逆鳞勇士1,10000,5,,,,,,,,2,,
19200,魔焰蜘蛛猎人,PVE,击败500只魔焰蜘蛛,击杀怪物,魔焰蜘蛛21;魔焰蜘蛛22,500,5,,,,,,,,2,,
19300,魔焰蜘蛛克星,PVE,击败2000只魔焰蜘蛛,击杀怪物,魔焰蜘蛛21;魔焰蜘蛛22,2000,5,,,,,,,,2,,
19400,魔焰蜘蛛终结者,PVE,击败10000只魔焰蜘蛛,击杀怪物,魔焰蜘蛛21;魔焰蜘蛛22,10000,5,,,,,,,,2,,
19500,铁血锤兵猎人,PVE,击败500只铁血锤兵,击杀怪物,铁血锤兵22;铁血锤兵32;铁血锤兵33;铁血锤兵34,500,5,,,,,,,,2,,
19600,铁血锤兵克星,PVE,击败2000只铁血锤兵,击杀怪物,铁血锤兵22;铁血锤兵32;铁血锤兵33;铁血锤兵34,2000,5,,,,,,,,2,,
19700,铁血锤兵终结者,PVE,击败10000只铁血锤兵,击杀怪物,铁血锤兵22;铁血锤兵32;铁血锤兵33;铁血锤兵34,10000,5,,,,,,,,2,,
19800,铁血战士猎人,PVE,击败500只铁血战士,击杀怪物,铁血战士22;铁血战士32;铁血战士33;铁血战士34,500,5,,,,,,,,2,,
19900,铁血战士克星,PVE,击败2000只铁血战士,击杀怪物,铁血战士22;铁血战士32;铁血战士33;铁血战士34,2000,5,,,,,,,,2,,
20000,铁血战士终结者,PVE,击败10000只铁血战士,击杀怪物,铁血战士22;铁血战士32;铁血战士33;铁血战士34,10000,5,,,,,,,,2,,
20100,铁血刺客猎人,PVE,击败500只铁血刺客,击杀怪物,铁血刺客22;铁血刺客32;铁血刺客33;铁血刺客34,500,5,,,,,,,,2,,
20200,铁血刺客克星,PVE,击败2000只铁血刺客,击杀怪物,铁血刺客22;铁血刺客32;铁血刺客33;铁血刺客34,2000,5,,,,,,,,2,,
20300,铁血刺客终结者,PVE,击败10000只铁血刺客,击杀怪物,铁血刺客22;铁血刺客32;铁血刺客33;铁血刺客34,10000,5,,,,,,,,2,,
