INT	STRING	STRING	STRING	INT	INT	INT
31	炼药师	交还新鲜猪肉	点此处理任务	246	35	35
32	炼药师	交还新鲜猪肉	点此处理任务	246	35	135
33	炼药师	交还兔肉	点此处理任务	225	33	36
34	炼药师	交还兔肉	点此处理任务	225	33	136
35	书店老板	可接任务	点击此处，接取任务	246	70	37
36	书店老板	可接任务	点击此处，接取任务	246	80	137
37	书店老板	可接任务	点击此处，接取任务	246	70	39
38	书店老板	可接任务	点击此处，接取任务	246	80	139
39	书店老板	可接任务	点击此处，接取任务	246	80	140
40	书店老板	可接任务	点击此处，接取任务	246	70	40
41	书店老板	新手任务--雪中送炭	点击此处，接取任务	290	0	37
42	书店老板	新手任务--雪中送炭	点击此处，接取任务	290	0	137
43	书店老板	新手任务--雪中送炭	点击此处，接取任务	290	0	39
44	书店老板	新手任务--雪中送炭	点击此处，接取任务	290	0	139
45	书店老板	新手任务--雪中送炭	点击此处，接取任务	290	0	40
46	书店老板	新手任务--雪中送炭	点击此处，接取任务	290	0	140
47	书店老板	交还解药	点此处理任务	225	50	37
48	书店老板	交还解药	点此处理任务	225	50	137
49	建材商人	可接任务	点击此处，接取任务	219	16	38
50	建材商人	新手任务--雪中送炭	点击此处，接取任务	290	-12	138
51	建材商人	新手任务--雪中送炭	点击此处，接取任务	290	-12	38
52	书店老板	给你书橱木材	点此处理任务	260	32	139
53	书店老板	给你书橱木材	点此处理任务	260	32	39
54	屠夫	新手任务	点击此处，接取任务	219	64	131
55	屠夫	新手任务	点击此处，接取任务	219	64	133
56	屠夫	新手任务	点击此处，接取任务	219	64	134
57	铁匠	新手任务	点击此处，接取任务	219	64	132
58	铁匠	新手任务	点击此处，接取任务	219	64	1132
59	建材商人	新手任务	点击此处，接取任务	219	48	138
60	书店老板	给你修复油	点此处理任务	260	16	40
61	书店老板	给你修复油	点此处理任务	260	16	140
62	屠夫	可接任务	点击此处，接取任务	219	16	1131
63	屠夫	可接任务	点击此处，接取任务	219	16	1133
64	屠夫	可接任务	点击此处，接取任务	219	16	1134
65	屠夫	新手任务--屠夫的刀子	点击此处，接取任务	290	0	1131
66	屠夫	新手任务--屠夫的刀子	点击此处，接取任务	290	0	1133
67	屠夫	新手任务--屠夫的刀子	点击此处，接取任务	290	0	1134
68	屠夫	愿意接受	点击此处，接取任务	225	50	1131
69	铁匠	可接任务	点击此处，接取任务	219	3	1132
70	铁匠	新手任务--屠夫的刀子	点击此处，接取任务	305	5	1132
71	铁匠	麻烦你磨刀	点此处理任务	230	50	1132
72	屠夫	刀磨好了，给你	点此处理任务	260	32	1132
73	屠夫	刀磨好了，给你	点此处理任务	260	32	1133
74	屠夫	交还鹿肉	点此处理任务	230	20	1134
75	屠夫	交还鹿肉	点此处理任务	230	20	1133
76	炼药师	可接任务	点击此处，接取任务	219	16	1135
77	炼药师	可接任务	点击此处，接取任务	219	16	1136
78	炼药师	新手任务--鱼人的阴谋	点击此处，接取任务	300	0	1135
79	炼药师	新手任务--鱼人的阴谋	点击此处，接取任务	300	0	1136
80	炼药师	交还新鲜猪肉	点此处理任务	246	35	1135
81	炼药师	交还兔肉	点此处理任务	225	33	1136
82	书店老板	可接任务	点击此处，接取任务	246	70	1137
83	书店老板	可接任务	点击此处，接取任务	246	70	1139
84	书店老板	可接任务	点击此处，接取任务	246	70	1140
85	书店老板	新手任务--雪中送炭	点击此处，接取任务	290	0	1137
86	书店老板	新手任务--雪中送炭	点击此处，接取任务	290	0	1139
87	书店老板	新手任务--雪中送炭	点击此处，接取任务	290	0	1140
88	书店老板	交还解药	点此处理任务	225	50	1137
89	建材商人	可接任务	点击此处，接取任务	219	16	1138
90	建材商人	新手任务--雪中送炭	点击此处，接取任务	290	-12	1138
91	书店老板	给你书橱木材	点此处理任务	260	32	1139
92	书店老板	给你修复油	点此处理任务	260	16	1140
93	屠夫	可接任务	点击此处，接取任务	244	32	20031
94	屠夫	可接任务	点击此处，接取任务	244	32	20131
95	屠夫	可接任务	点击此处，接取任务	244	32	21131
