#名称,分类号,装备外观,物品外观,特殊能量,最低防御,最大防御,最低魔御,最大魔御,最低攻击,最大攻击,最低魔法,最大魔法,最低道术,最大道术,魔法命中,中毒命中,重量,最大持久,价格,需求类型,需求等级,,,,,,
#衣服,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑铁头盔,15,0,137,0,4,5,2,3,0,0,0,0,0,0,0,0,20,10,40000,1,46,,,,,,
明王头盔,15,0,297,0,4,5,1,2,0,1,0,1,0,1,0,0,8,7,50000,0,35,,,,,,
花冠,15,0,291,0,2,3,2,3,0,0,0,0,0,0,0,0,2,5,5000,0,28,,,,,,
星王冠,15,0,222,0,5,5,5,5,0,0,0,0,0,0,0,0,1,10,20000,0,30,,,,,,
圣战头盔,15,0,150,0,4,5,2,3,0,1,0,0,0,0,0,0,20,7,20000,1,40,,,,,,
天尊头盔,15,0,158,0,4,4,1,2,0,0,0,0,0,1,0,0,3,7,20000,3,25,,,,,,
神秘头盔,15,0,148,0,4,5,2,3,0,1,0,0,0,0,0,0,20,7,100,0,18,,,,,,
法神头盔,15,0,154,0,4,4,1,2,0,0,0,1,0,0,0,0,2,7,20000,2,28,,,,,,
玫瑰花冠,15,0,291,0,0,2,1,4,0,0,0,1,0,0,0,0,4,8,20000,0,28,,,,,,
#武器,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤明天帝,5,57,738,0,0,0,0,0,22,28,0,0,0,0,0,0,60,30,60000,0,42,,,,,,
倚天剑,5,56,493,0,3,0,0,0,10,18,0,0,5,12,0,0,30,22,60000,0,43,,,,,,
嗜魂,5,28,28,0,0,0,0,0,6,13,2,8,0,0,0,0,26,10,60000,0,35,,,,,,
紫月圣君1,5,48,289,0,0,0,0,0,6,14,3,9,0,0,0,0,25,28,50000,0,0,,,,,,
紫月圣君,5,48,289,0,0,0,0,0,6,14,3,7,0,0,0,0,25,28,50000,0,0,,,,,,
耀阳圣尊1,5,45,287,0,0,0,0,0,10,20,0,0,5,10,0,0,45,30,50000,0,0,,,,,,
耀阳圣尊,5,45,287,0,0,0,0,0,10,18,0,0,1,5,0,0,45,30,50000,0,0,,,,,,
碧海天王,5,51,288,0,0,0,0,0,10,32,0,0,0,0,0,0,80,40,50000,0,0,,,,,,
道玄剑,5,54,482,0,0,0,0,0,8,19,0,0,4,5,0,0,40,22,50000,0,36,,,,,,
雷裂刀,5,53,481,0,0,0,0,0,13,25,0,0,0,0,0,0,80,33,50000,0,37,,,,,,
霹雳法杖,5,55,483,0,0,0,0,0,7,11,3,6,0,0,0,0,26,10,50000,0,38,,,,,,
冥日,5,50,285,0,0,0,0,0,27,0,5,1,3,1,0,0,25,28,50000,4,10,,,,,,
鬼炎,5,46,286,0,0,0,0,0,36,0,0,0,0,0,0,0,80,35,50000,4,10,,,,,,
暗月,5,44,284,0,0,0,0,0,16,8,7,2,0,0,0,0,25,30,50000,4,10,,,,,,
撼天,5,47,283,0,0,0,0,0,18,13,0,0,4,1,0,0,30,30,50000,4,10,,,,,,
马鞭,5,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,8000,0,15,,,,,,
鹤嘴锄,6,19,25,0,0,0,0,0,0,8,0,0,0,0,0,0,10,10,700,0,11,,,,,,
桃木剑,5,1,1,0,0,0,0,0,2,5,0,0,0,0,0,0,7,4,50,0,1,,,,,,
硬木剑,5,1,1,0,1,0,0,0,2,4,0,0,0,0,0,0,7,4,50,0,1,,,,,,
竹剑,5,1,1,0,0,0,1,0,3,5,0,0,0,0,0,0,7,4,50,0,1,,,,,,
匕首,5,2,2,0,0,0,0,0,4,5,0,0,0,0,0,0,5,10,500,0,1,,,,,,
乌木剑,5,3,3,0,0,0,0,0,4,8,0,1,0,0,0,0,8,7,4000,0,1,,,,,,
铜剑,5,4,4,0,0,0,0,0,3,7,0,0,0,0,0,0,9,6,900,0,5,,,,,,
短剑,5,5,5,0,0,0,0,0,3,11,0,0,0,0,0,0,9,8,1000,0,10,,,,,,
铁剑,5,6,6,0,0,0,0,0,5,9,0,0,0,0,0,0,10,10,1200,0,10,,,,,,
青铜斧,5,7,7,0,0,0,0,0,0,15,0,0,0,0,0,0,10,10,1500,0,13,,,,,,
罗刹棒,5,33,33,0,0,0,0,0,15,0,0,0,0,0,0,0,30,25,10000,0,15,,,,,,
八荒刀,5,9,9,0,0,0,0,0,4,12,0,0,0,0,0,0,25,18,5000,0,15,,,,,,
海魂叉,5,8,8,0,0,0,0,0,3,11,1,2,0,0,0,0,12,12,3000,0,15,,,,,,
半月刀,5,10,10,0,0,0,0,0,5,10,0,1,1,1,0,0,16,14,4000,0,15,,,,,,
血饮,5,22,22,0,0,5,0,0,3,14,3,5,0,0,0,0,12,20,60000,2,15,,,,,,
凌风剑,5,11,11,0,0,0,0,0,6,12,0,0,0,0,0,0,28,18,5000,0,19,,,,,,
偃月刀,5,12,12,0,0,0,0,0,4,10,1,3,0,0,0,0,13,12,10000,0,20,,,,,,
破魂刀,5,13,13,0,0,2,0,0,8,10,0,0,0,0,0,0,8,11,5000,0,20,,,,,,
降魔剑,5,14,14,0,0,1,0,0,6,11,0,0,1,2,0,0,20,17,10000,0,20,,,,,,
斩马,5,15,15,0,0,0,0,0,5,16,0,0,0,0,0,0,27,19,6000,0,20,,,,,,
修罗战斧,5,16,16,0,0,0,0,0,0,20,0,0,0,0,0,0,40,25,10000,0,22,,,,,,
狼牙棒,5,38,38,0,0,0,0,0,2,12,1,4,0,0,0,0,15,13,30000,0,23,,,,,,
凝霜剑,5,19,19,0,0,0,0,0,10,13,0,0,0,0,0,0,20,20,8000,0,25,,,,,,
无极,5,23,23,0,0,0,0,0,8,16,0,0,3,5,0,0,15,25,50000,3,25,,,,,,
魔法权杖,5,17,17,0,0,0,0,0,5,10,2,5,0,0,0,0,10,15,25000,0,26,,,,,,
炼狱战斧,5,18,18,0,0,0,0,0,0,25,0,0,0,0,0,0,60,28,25000,0,26,,,,,,
银蛇剑,5,20,20,0,0,1,0,0,7,14,0,0,1,3,0,0,26,24,15000,0,26,,,,,,
大关刀,5,36,36,0,0,0,0,0,10,15,0,0,0,0,0,0,20,20,20000,0,27,,,,,,
龙牙利刃,5,43,248,0,0,5,0,0,10,18,3,6,0,0,0,0,26,10,60000,2,28,,,,,,
铜锤,5,35,35,0,0,0,0,0,0,27,0,0,0,0,0,0,70,30,10000,0,28,,,,,,
离别钩,5,34,34,0,0,0,0,0,7,15,0,0,1,4,0,0,30,26,50000,0,28,,,,,,
井中月,5,21,21,0,0,0,0,0,7,22,0,0,0,0,0,0,58,30,30000,0,28,,,,,,
方天画戟,5,37,37,0,0,0,0,0,20,0,5,0,5,0,0,0,20,28,50000,0,28,,,,,,
裁决,5,24,24,0,0,0,0,0,0,30,0,0,0,0,0,0,80,32,60000,0,30,,,,,,
屠龙刀,5,26,26,0,0,0,0,0,5,35,0,0,0,0,0,0,99,33,60000,0,34,,,,,,
命运,5,30,30,0,0,0,0,0,12,16,0,0,0,0,0,0,48,32,50000,0,35,,,,,,
命运1,5,30,30,0,1,1,0,0,1,12,0,0,0,0,0,0,20,25,50000,0,35,,,,,,
命运2,5,30,30,0,1,1,0,0,0,0,1,4,0,0,0,0,15,10,50000,0,35,,,,,,
命运3,5,30,30,0,1,1,0,0,12,14,0,0,1,3,0,0,20,22,50000,0,35,,,,,,
命运4,5,30,30,0,2,2,0,0,2,23,0,0,0,0,0,0,60,30,50000,0,35,,,,,,
命运5,5,30,30,0,2,2,0,0,0,0,1,5,0,0,0,0,10,12,50000,0,35,,,,,,
命运6,5,30,30,0,2,2,0,0,12,14,0,0,1,4,0,0,20,24,50000,0,35,,,,,,
命运7,5,30,30,0,3,3,0,0,1,27,0,0,0,0,0,0,70,35,50000,0,35,,,,,,
命运8,5,30,30,0,3,3,0,0,0,0,2,5,0,0,0,0,15,14,50000,0,35,,,,,,
命运9,5,30,30,0,3,3,0,0,12,14,0,0,2,4,0,0,20,26,50000,0,35,,,,,,
龙纹,5,27,27,0,0,0,0,0,8,20,0,0,3,6,0,0,40,22,60000,0,35,,,,,,
骨玉,5,29,29,0,0,0,0,0,6,12,2,6,0,0,0,0,20,18,60000,0,35,,,,,,
逍遥无极扇,5,42,247,0,1,0,0,0,5,13,0,0,4,10,0,0,45,30,60000,0,35,,,,,,
血剑,5,31,31,0,0,0,0,0,15,20,0,0,5,12,0,0,45,25,50000,0,40,,,,,,
雷霆怒斩,5,41,246,0,0,3,0,0,12,26,0,0,0,0,0,0,85,35,60000,1,46,,,,,,
祈祷之刃,5,40,144,0,0,3,0,1,8,20,0,0,0,0,0,0,10,20,50000,0,20,,,,,,
伐木斧,5,7,7,0,0,0,0,0,1,7,0,0,0,0,0,0,8,10,800,0,8,,,,,,
至尊屠龙,5,26,26,8,2,0,0,0,5,35,0,0,0,0,0,0,30,33,50000,6,34,,,,,,
君子剑,5,130,31,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,7,,,,,,
#戒指,,,,,,,,,,,,,,,,,,,,,,,,,,,
水晶戒指,22,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,800,0,7,,,,,,
铜戒指,22,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,500,0,3,,,,,,
兽角戒指,22,0,42,0,0,0,0,1,0,1,0,0,0,0,0,0,1,6,1000,0,9,,,,,,
八角戒指,22,0,43,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,800,0,4,,,,,,
蓝水晶戒指,22,0,44,0,0,0,0,2,2,0,0,0,0,0,0,0,1,5,1500,0,16,,,,,,
生铁戒指,22,0,45,0,0,2,0,0,0,0,0,1,0,0,0,0,1,5,3000,2,9,,,,,,
珍珠戒指,22,0,46,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,2000,0,20,,,,,,
黑色水晶戒指,22,0,47,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,2000,0,20,,,,,,
魔眼戒指,22,0,48,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2000,0,20,,,,,,
金戒指,22,0,49,0,0,0,0,3,1,1,1,1,1,1,0,0,1,5,8000,0,22,,,,,,
道士戒指,22,0,50,0,0,0,0,0,0,0,0,0,1,2,0,0,1,5,4000,0,23,,,,,,
魅力戒指,22,0,51,0,0,0,0,0,0,0,1,2,0,0,0,0,1,5,4000,0,23,,,,,,
降妖戒指,22,0,52,0,0,0,0,4,1,2,1,2,1,2,0,0,1,5,5000,0,25,,,,,,
白金戒指,22,0,53,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,10000,3,17,,,,,,
珊瑚戒指,22,0,54,0,0,0,0,0,0,4,0,0,0,0,0,0,1,5,10000,0,25,,,,,,
红宝戒指,22,0,55,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5,15000,2,17,,,,,,
死神戒指,22,117,56,0,0,0,0,0,0,3,0,0,0,0,0,0,1,5,5000,1,30,,,,,,
龙戒,22,0,57,0,0,0,0,0,0,5,0,0,0,0,0,0,1,5,10000,1,37,,,,,,
疾风戒指,23,0,58,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,20000,0,16,,,,,,
瞬移戒指,22,112,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,20000,0,12,,,,,,
护体戒指,22,118,60,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,20000,0,16,,,,,,
防御戒指,22,116,61,0,0,0,0,0,0,0,0,0,1,2,0,0,1,5,20000,0,16,,,,,,
麻痹戒指,22,113,62,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,20000,0,16,,,,,,
神力戒指,22,119,63,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,20000,0,16,,,,,,
魔戒,22,115,64,0,0,0,0,0,0,0,1,2,0,0,0,0,1,5,20000,0,16,,,,,,
重生戒指,22,114,65,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,20000,0,16,,,,,,
隐身戒指,22,111,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,20000,0,12,,,,,,
泰坦戒指,22,0,67,0,0,0,0,0,0,0,0,0,2,6,0,0,3,5,20000,3,24,,,,,,
求婚戒指,22,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1000,0,0,,,,,,
神秘戒指,22,130,147,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3000,0,18,,,,,,
圣战戒指,22,0,151,0,0,0,0,1,0,7,0,0,0,0,0,0,2,7,20000,1,40,,,,,,
法神戒指,22,0,155,0,0,0,0,1,0,0,1,6,0,0,0,0,1,7,20000,2,28,,,,,,
天尊戒指,22,0,159,0,0,0,0,1,0,0,0,0,2,7,0,0,1,7,20000,3,25,,,,,,
紫晶戒指,22,0,253,0,0,0,0,0,0,0,1,3,0,0,0,0,1,5,12000,0,27,,,,,,
力量戒指,22,0,114,0,0,0,0,0,0,6,0,0,0,0,0,0,3,5,20000,1,46,,,,,,
碧螺戒指,22,0,116,0,0,0,0,0,0,0,0,5,0,0,0,0,2,5,20000,2,24,,,,,,
龙牙戒指,22,0,299,0,0,0,0,0,0,6,1,5,2,3,0,0,1,7,20000,2,28,,,,,,
王者之戒,22,0,215,0,0,4,0,4,1,8,1,8,1,8,0,0,1,7,20000,5,35,,,,,,
黑暗之戒,38,0,116,0,54,32,198,66,4,0,0,0,0,0,0,0,1,2,10000,0,0,,,,,,
#项链,,,,,,,,,,,,,,,,,,,,,,,,,,,
纯金项链,20,0,69,0,0,0,0,1,0,1,0,0,0,0,0,0,1,8,500,0,2,,,,,,
准确项链,20,0,70,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,1000,0,3,,,,,,
黄水晶项链,20,71,71,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,1200,0,13,,,,,,
黑檀木项链,20,0,72,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,1200,0,13,,,,,,
黑水晶项链,20,0,73,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,1500,0,13,,,,,,
白金项链,20,0,74,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6,2000,2,10,,,,,,
虎齿项链,19,0,75,0,0,2,0,0,0,0,0,0,1,1,0,0,0,7,3000,3,11,,,,,,
灯笼项链,19,0,76,0,0,1,0,0,1,0,0,0,0,0,0,0,1,8,3000,0,17,,,,,,
琥珀明珠,20,0,77,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,2000,0,17,,,,,,
恶魔项链,20,0,78,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,2500,0,17,,,,,,
天珠项链,20,0,79,0,0,0,0,0,0,0,0,0,1,5,0,0,1,7,10000,3,22,,,,,,
翡翠项链,20,0,80,0,0,0,0,0,2,2,0,0,0,0,0,0,1,8,10000,0,23,,,,,,
骨笛,20,0,81,0,0,0,0,0,0,0,0,0,1,3,0,0,1,7,6000,0,24,,,,,,
魔镜,20,0,82,0,0,0,0,0,0,0,1,3,0,0,0,0,2,7,6000,0,24,,,,,,
绿色项链,20,0,83,0,0,0,0,0,2,5,0,0,0,0,0,0,1,8,20000,1,39,,,,,,
灵魂项链,20,0,84,0,0,2,0,0,0,0,0,0,1,6,0,0,1,7,18000,3,23,,,,,,
恶魔铃,20,0,85,0,1,2,0,0,0,0,0,7,0,0,0,0,1,6,18000,2,27,,,,,,
技能项链,20,120,86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,20000,0,16,,,,,,
探知项链,20,121,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,20000,0,1,,,,,,
疾风项链,21,0,88,0,2,0,0,0,0,1,0,0,0,0,0,0,1,8,20000,0,19,,,,,,
幽冥项链,20,0,89,0,0,0,0,0,0,5,0,0,0,0,0,0,1,8,10000,0,24,,,,,,
思诺项链,20,0,252,0,0,0,0,0,0,0,0,0,1,4,0,0,1,7,20000,0,27,,,,,,
凤凰项链,20,0,113,0,0,1,0,0,0,0,0,0,1,2,0,0,1,7,2000,0,17,,,,,,
生命项链,20,0,115,0,0,1,0,0,0,0,1,5,0,0,0,0,1,6,10000,2,25,,,,,,
圣战项链,20,0,153,0,0,0,0,0,3,6,0,0,0,0,0,0,2,7,20000,1,40,,,,,,
法神项链,20,0,157,0,1,2,0,0,0,0,1,8,0,0,0,0,1,7,20000,2,28,,,,,,
天尊项链,20,0,161,0,1,2,0,0,0,0,0,0,2,7,0,0,1,7,20000,3,25,,,,,,
天鹰项链,20,0,255,0,0,0,0,0,1,2,0,0,0,0,0,0,1,7,8000,0,21,,,,,,
纯银项链,20,0,256,0,0,1,0,0,0,1,0,0,0,0,0,0,1,8,4000,0,6,,,,,,
天羽项链,20,0,300,0,0,0,0,0,2,5,0,7,1,5,0,0,2,7,20000,0,35,,,,,,
镇神项链,20,0,484,0,0,2,0,1,4,7,0,0,0,0,0,0,2,7,20000,0,38,,,,,,
神恩项链,20,0,496,0,0,2,0,1,4,7,0,0,0,0,0,0,2,7,20000,0,38,,,,,,
龙魂项链,20,0,486,0,0,0,0,1,0,0,2,8,0,0,0,0,1,7,20000,0,37,,,,,,
魂珠项链,20,0,494,0,0,0,0,1,0,0,2,8,0,0,0,0,1,7,20000,0,37,,,,,,
如意项链,20,0,485,0,0,2,0,0,0,0,0,0,3,6,0,0,1,7,20000,0,36,,,,,,
通灵项链,19,0,495,0,0,2,0,2,0,0,0,0,3,6,0,0,1,7,20000,0,36,,,,,,
#手镯,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁手镯,24,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,800,0,3,,,,,,
小手镯,26,0,91,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1000,0,5,,,,,,
纯银手镯,24,0,92,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,1500,0,7,,,,,,
大护腕,26,0,93,0,1,1,0,0,0,0,0,0,0,0,0,0,2,10,5000,0,9,,,,,,
精钢手镯,26,0,94,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,2000,0,8,,,,,,
铜手镯,26,0,257,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1000,0,4,,,,,,
魔法手镯,26,0,95,0,0,1,1,2,0,0,0,0,0,0,0,0,1,7,4000,0,18,,,,,,
道士手镯,26,0,96,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,4000,0,19,,,,,,
黑檀木手镯,26,0,97,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,4000,0,19,,,,,,
金手镯,26,0,98,0,0,0,2,3,0,1,0,0,0,0,0,0,1,7,8000,0,23,,,,,,
心灵护腕,26,0,99,0,0,0,0,0,0,0,0,0,1,2,0,0,1,7,13000,3,24,,,,,,
三眼护腕,26,0,100,0,0,1,0,0,0,0,0,0,1,3,0,0,1,7,10000,3,22,,,,,,
魔魂手镯,26,0,101,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,10000,2,24,,,,,,
猛士手镯,26,0,102,0,0,0,0,0,2,2,0,0,0,0,0,0,1,8,15000,1,37,,,,,,
楼兰手镯,26,0,251,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,10000,0,21,,,,,,
躲避手镯,24,0,104,0,0,0,0,3,0,0,0,0,0,0,0,0,1,8,20000,3,12,,,,,,
龙鳞手镯,26,0,105,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,12000,2,28,,,,,,
幽冥手套,26,0,106,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8,8000,0,25,,,,,,
阎罗手套,26,0,107,0,0,4,0,0,0,0,0,0,0,0,0,0,10,8,10000,0,30,,,,,,
魔力手镯,26,0,108,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,8000,0,20,,,,,,
死神手套,26,0,109,0,0,0,0,0,1,2,0,0,0,0,0,0,2,8,8000,0,22,,,,,,
躲避手链,26,0,110,0,0,0,0,3,0,0,0,0,0,0,0,0,1,8,25000,3,12,,,,,,
坚固手套,26,0,111,0,0,2,0,0,0,0,0,0,0,0,0,0,3,8,7000,0,18,,,,,,
皮手套,26,0,112,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,1500,0,7,,,,,,
神秘腰带,26,131,149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3000,0,18,,,,,,
圣战手镯,26,0,152,0,0,1,0,0,2,3,0,0,0,0,0,0,2,7,20000,1,40,,,,,,
法神手镯,26,0,156,0,0,1,0,0,0,0,0,4,0,0,0,0,1,7,20000,2,28,,,,,,
天尊手镯,26,0,160,0,1,2,0,0,0,0,0,0,1,4,0,0,1,7,20000,3,25,,,,,,
光芒手套,26,0,250,0,1,3,0,0,0,0,0,0,0,0,0,0,6,8,10000,0,29,,,,,,
命中手镯,24,0,103,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,20000,0,16,,,,,,
天珑手镯,26,0,254,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,8000,0,21,,,,,,
狂魔手镯,26,0,298,0,0,1,0,0,2,3,0,4,1,2,0,0,1,7,20000,0,35,,,,,,
#书籍,,,,,,,,,,,,,,,,,,,,,,,,,,,
道心清明,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,10000,0,1,,,,,,
灵魂墙,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,8000,0,0,,,,,,
群体治愈术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,10000,0,0,,,,,,
隐身术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2000,0,1,,,,,,
集体隐身术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3000,0,1,,,,,,
狮子吼,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,5000,0,0,,,,,,
施毒术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1000,0,0,,,,,,
神圣战甲术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,10000,0,0,,,,,,
幽灵盾,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,5000,0,0,,,,,,
骷髅召唤术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2000,0,1,,,,,,
精神战法,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,500,0,0,,,,,,
治疗术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,500,0,0,,,,,,
幽冥火咒,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,300,0,1,,,,,,
神光术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,10000,0,1,,,,,,
灵魂道符,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1000,0,0,,,,,,
解毒术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,5000,0,1,,,,,,
强化骷髅术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,20000,0,1,,,,,,
召唤神兽,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,20000,0,1,,,,,,
遁地,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,30000,0,1,,,,,,
