#Level ,ACMIN,ACMAX,MACMIN,MACMAX,DCMIN,DCMAX,MCMIN,MCMAX,SCMIN,SCMAX,HP,MP,背包,负重,腕力,命中,敏捷,魔法恢复,体力恢复,魔法躲避,魔法命中,中毒躲避,中毒命中,活力,升级经验
42,0,6,0,0,7,8,0,0,0,0,732,158,638,103,148,5,15,9,10,9,0,0,0,0,30000000
43,0,6,0,0,7,8,0,0,0,0,762,161,666,107,154,5,15,9,11,9,0,0,0,0,50000000
44,0,6,0,0,7,8,0,0,0,0,793,165,695,112,161,5,15,10,11,10,0,0,0,0,80000000
45,0,6,0,0,8,9,0,0,0,0,824,169,725,116,168,5,15,10,11,10,0,0,0,0,120000000
46,0,6,0,0,8,9,0,0,0,0,856,172,755,121,175,5,15,10,12,10,0,0,0,0,480000000
47,0,6,0,0,8,9,0,0,0,0,888,175,786,125,182,5,15,10,12,10,0,0,0,0,510000000
48,0,6,0,0,8,9,0,0,0,0,921,179,818,130,189,5,15,10,13,10,0,0,0,0,560000000
49,0,7,0,0,8,9,0,0,0,0,955,183,850,135,197,5,15,11,13,11,0,0,0,0,560000000
50,0,7,0,0,9,10,0,0,0,0,989,186,883,140,198,5,15,11,14,11,0,0,0,0,560000000
51,0,7,0,0,9,10,0,0,0,0,1023,189,917,145,200,5,15,11,14,11,0,0,0,0,560000000
52,0,7,0,0,9,10,0,0,0,0,1058,192,951,150,201,5,15,11,15,11,0,0,0,0,560000000
53,0,7,0,0,9,10,0,0,0,0,1093,196,986,155,203,5,15,11,15,11,0,0,0,0,560000000
54,0,7,0,0,9,10,0,0,0,0,1129,200,1022,161,204,5,15,11,16,11,0,0,0,0,560000000
55,0,7,0,0,10,11,0,0,0,0,1166,203,1058,166,206,5,15,12,16,12,0,0,0,0,560000000
56,0,8,0,0,10,11,0,0,0,0,1203,206,1095,172,207,5,15,12,17,12,0,0,0,0,560000000
57,0,8,0,0,10,11,0,0,0,0,1241,210,1133,177,209,5,15,12,17,12,0,0,0,0,560000000
58,0,8,0,0,10,11,0,0,0,0,1279,214,1171,183,210,5,15,12,18,12,0,0,0,0,560000000
59,0,8,0,0,10,11,0,0,0,0,1318,217,1210,189,211,5,15,12,18,12,0,0,0,0,560000000
60,0,8,0,0,11,12,0,0,0,0,1358,220,1250,195,213,5,15,13,19,13,0,0,0,0,560000000
61,0,8,0,0,11,12,0,0,0,0,1399,223,1291,202,215,5,15,13,20,13,0,0,0,0,560000000
62,0,8,0,0,11,12,0,0,0,0,1441,226,1332,210,218,5,15,13,20,13,0,0,0,0,560000000
63,0,8,0,0,11,12,0,0,0,0,1484,229,1374,219,221,5,15,13,21,13,0,0,0,0,560000000
64,0,9,0,0,11,12,0,0,0,0,1528,232,1416,229,224,5,15,13,21,13,0,0,0,0,560000000
65,0,9,0,0,11,12,0,0,0,0,1572,235,1459,240,227,5,15,13,22,13,0,0,0,0,560000000
66,0,9,0,0,11,13,0,0,0,0,1607,238,1503,252,230,5,15,13,22,13,0,0,0,0,560000000
67,0,9,0,0,12,13,0,0,0,0,1643,241,1548,255,233,5,15,14,23,14,0,0,0,0,560000000
68,0,9,0,0,12,13,0,0,0,0,1670,244,1594,255,236,5,15,14,23,14,0,0,0,0,560000000
69,0,9,0,0,12,13,0,0,0,0,1708,247,1641,255,239,5,15,14,24,14,0,0,0,0,560000000
70,0,9,0,0,12,13,0,0,0,0,1747,250,1688,255,242,5,15,14,24,14,0,0,0,0,560000000
71,0,9,0,0,12,13,0,0,0,0,1788,253,1726,255,245,5,15,14,25,14,0,0,0,0,3600000000
72,0,9,0,0,12,13,0,0,0,0,1826,255,1765,255,248,5,15,14,25,14,0,0,0,0,3600000000
73,0,9,0,0,12,13,0,0,0,0,1864,255,1805,255,252,5,15,14,26,14,0,0,0,0,3600000000
74,0,9,0,0,12,13,0,0,0,0,1902,255,1845,255,255,5,15,14,27,14,0,0,0,0,3600000000
75,0,9,0,0,12,13,0,0,0,0,1940,255,1885,255,255,5,15,14,28,14,0,0,0,0,3600000000
76,0,10,0,0,12,13,0,0,0,0,1978,255,1925,255,255,5,15,14,29,14,0,0,0,0,3600000000
77,0,10,0,0,12,13,0,0,0,0,2016,255,1965,255,255,5,15,14,30,14,0,0,0,0,3600000000
78,0,10,0,0,12,13,0,0,0,0,2054,255,2005,255,255,5,15,14,31,14,0,0,0,0,3600000000
79,0,10,0,0,12,14,0,0,0,0,2092,255,2045,255,255,5,15,14,32,14,0,0,0,0,3600000000
80,0,10,0,0,13,14,0,0,0,0,2130,255,2085,255,255,5,15,14,33,14,0,0,0,0,3600000000
81,0,10,0,0,13,14,0,0,0,0,2168,255,2125,255,255,5,15,14,34,14,0,0,0,0,3600000000
82,0,10,0,0,13,14,0,0,0,0,2206,255,2165,255,255,5,15,14,35,14,0,0,0,0,3600000000
83,0,10,0,0,13,14,0,0,0,0,2244,255,2205,255,255,5,15,14,36,14,0,0,0,0,3600000000
84,0,10,0,0,13,14,0,0,0,0,2282,255,2245,255,255,5,15,14,37,14,0,0,0,0,3600000000
85,0,10,0,0,13,14,0,0,0,0,2320,255,2285,255,255,5,15,14,38,14,0,0,0,0,3600000000
86,0,10,0,0,13,14,0,0,0,0,2358,255,2325,255,255,5,15,14,39,14,0,0,0,0,3600000000
87,0,10,0,0,13,14,0,0,0,0,2396,255,2365,255,255,5,15,14,40,14,0,0,0,0,3600000000
88,0,10,0,0,13,14,0,0,0,0,2434,255,2405,255,255,5,15,14,40,14,0,0,0,0,3600000000
89,0,10,0,0,13,14,0,0,0,0,2472,255,2445,255,255,5,15,14,41,14,0,0,0,0,3600000000
90,0,10,0,0,13,14,0,0,0,0,2510,255,2485,255,255,5,15,14,42,14,0,0,0,0,3600000000
91,0,10,0,0,20,30,0,0,0,0,2648,2000,2525,255,255,5,15,15,43,15,0,0,0,0,3600000000
92,0,10,0,0,25,30,0,0,0,0,2780,2000,2565,255,255,5,15,15,43,15,0,0,0,0,3600000000
93,0,10,0,0,30,35,0,0,0,0,2935,2000,2605,255,255,5,15,15,43,15,0,0,0,0,3600000000
94,0,10,0,0,35,40,0,0,0,0,3083,2000,2645,255,255,5,15,15,43,15,0,0,0,0,3600000000
95,0,10,0,0,45,50,0,0,0,0,3210,2000,2685,255,255,5,15,15,43,15,0,0,0,0,3600000000
96,0,10,0,0,46,51,0,0,0,0,3363,2000,2725,255,255,5,15,15,43,15,0,0,0,0,3600000000
97,0,10,0,0,47,52,0,0,0,0,3520,2000,2765,255,255,5,15,15,43,15,0,0,0,0,3600000000
98,0,10,0,0,48,53,0,0,0,0,3672,2000,2805,255,255,5,15,15,43,15,0,0,0,0,3600000000
99,0,10,0,0,49,54,0,0,0,0,3814,2000,2845,255,255,5,15,15,43,15,0,0,0,0,3600000000
