INT	INT	INT	INT	INT
113	10	67	2	5
114	11	67	2	5
115	10	68	3	5
116	11	68	3	5
117	15	112	0	5
118	19	112	0	5
119	24	112	0	5
120	22	163	0	5
121	81	112	0	5
122	58	112	0	5
123	15	113	1	5
124	19	113	1	5
125	26	113	1	5
126	22	164	1	5
127	81	113	1	5
128	58	113	1	5
129	15	114	2	5
130	19	114	2	5
131	26	114	2	5
132	22	165	2	5
133	81	114	2	5
134	58	114	2	5
135	15	115	3	5
136	19	115	3	5
137	24	115	3	5
138	22	166	3	5
139	81	115	3	5
140	58	115	3	5
141	5	160	0	5
142	5	161	1	5
143	5	162	2	5
144	5	163	3	5
145	15	100	0	2
146	19	100	0	2
147	24	100	0	2
148	22	100	0	2
149	81	100	0	2
150	58	100	0	2
151	15	101	1	2
152	19	101	1	2
153	26	101	1	2
154	22	101	1	2
155	81	101	1	2
156	58	101	1	2
157	15	102	2	2
158	19	102	2	2
159	26	102	2	2
160	22	102	2	2
161	81	102	2	2
162	58	102	2	2
163	15	103	3	2
164	19	103	3	2
165	24	103	3	2
166	22	103	3	2
167	81	103	3	2
168	58	103	3	2
169	10	50	0	2
170	11	50	0	2
171	10	51	1	2
172	11	51	1	2
173	10	52	2	2
174	11	52	2	2
175	10	53	3	2
176	11	53	3	2
177	5	147	0	2
178	5	148	1	2
179	5	149	2	2
180	5	153	3	2
181	15	104	0	3
182	19	104	0	3
183	24	104	0	3
184	22	104	0	3
185	81	104	0	3
186	58	104	0	3
187	15	105	1	3
188	19	105	1	3
189	26	105	1	3
190	22	105	1	3
191	81	105	1	3
192	58	105	1	3
193	15	106	2	3
194	19	106	2	3
195	26	106	2	3
196	22	106	2	3
197	81	106	2	3
198	58	106	2	3
199	15	107	3	3
200	19	107	3	3
201	24	107	3	3
202	22	107	3	3
203	81	107	3	3
204	58	107	3	3
205	10	55	0	3
206	11	55	0	3
207	10	56	1	3
208	11	56	1	3
209	10	57	2	3
210	11	57	2	3
211	10	54	3	3
212	11	54	3	3
213	5	155	0	3
214	5	151	1	3
215	5	152	2	3
216	5	154	3	3
217	5	175	0	8
218	10	99	0	8
219	11	99	0	8
220	15	139	0	8
221	19	139	0	8
222	24	139	0	8
223	22	175	0	8
224	81	139	0	8
225	58	139	0	8
226	5	176	1	8
227	10	100	1	8
228	11	100	1	8
229	15	132	1	8
230	19	132	1	8
231	26	132	1	8
232	22	176	1	8
233	81	132	1	8
234	58	132	1	8
235	5	177	2	8
236	10	101	2	8
237	11	101	2	8
238	15	126	2	8
239	19	126	2	8
240	26	126	2	8
241	22	177	2	8
242	81	126	2	8
243	58	126	2	8
244	5	178	3	8
245	10	102	3	8
246	11	102	3	8
247	15	127	3	8
248	19	127	3	8
249	24	127	3	8
250	22	178	3	8
251	81	127	3	8
252	58	127	3	8
253	5	179	0	9
254	10	103	0	9
255	11	103	0	9
256	15	128	0	9
257	19	128	0	9
258	24	128	0	9
259	22	179	0	9
260	81	128	0	9
261	58	128	0	9
262	5	183	1	9
263	10	104	1	9
264	11	104	1	9
265	15	129	1	9
266	19	129	1	9
267	26	129	1	9
268	22	183	1	9
269	81	129	1	9
270	58	129	1	9
271	5	181	2	9
272	10	105	2	9
273	11	105	2	9
274	15	133	2	9
275	19	133	2	9
276	26	133	2	9
277	22	181	2	9
278	81	133	2	9
279	58	133	2	9
280	5	182	3	9
281	10	106	3	9
282	11	106	3	9
283	15	239	3	9
284	19	239	3	9
285	24	239	3	9
286	22	182	3	9
287	81	239	3	9
288	58	239	3	9
