id,字符串key,名字,0不允许覆盖1覆盖等级，时间重置2叠加等级，时间重置3覆盖等级，时间不变4叠加等级，时间不变5覆盖等级，时间延长6叠加等级，时间延长,是否下线保存,下线是否计时,是否同步客户端,是否广播客户端(todo),是否死亡清除,持有图标(留空表示不显示图标),持有特效(留空表示不显示特效),持有特效1(留空表示不显示特效),特效类型(留空表示不显示特效),特效层级(0:身后 1:身前),替换组key(同一个组key的buff生效时，会删除原组所有buff),互斥组key(有同一个组key的buff生效时，无法再添加新的同组buff),缺省持续秒,更新时间秒（0表示不更新）,是否屏蔽时间,最大等级(0不限),固定属性个数（总属性=固定属性+buff等级*等级属性）,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,等级属性个数,等级属性槽,等级属性槽,等级属性槽,等级属性槽,等级属性槽,描述
32,hanghuigongji2,2级行会攻击,1,1,1,1,0,0,34047,,,,,hanghuigongji2,,604800,,0,0,1,105;3;3,,,,,,,0,,,,,,2级行会攻击：攻击3-3
33,hanghuigongji3,3级行会攻击,1,1,1,1,0,0,34047,,,,,hanghuigongji3,,604800,,0,0,1,105;5;5,,,,,,,0,,,,,,3级行会攻击：攻击5-5
34,hanghuifangyu1,1级行会防御,1,1,1,1,0,0,34048,,,,,hanghuifangyu1,,604800,,0,0,5,100;50;50,101;20;20,102;30;30,9;0;2,10;0;2,,,0,,,,,,1级行会防御：防御0-2，魔防0-2，战士血量50，法师20，道士30。
35,hanghuifangyu2,2级行会防御,1,1,1,1,0,0,34048,,,,,hanghuifangyu2,,604800,,0,0,5,100;125;125,101;50;50,102;75;75,9;1;2,10;1;2,,,0,,,,,,2级行会防御：防御1-2，魔防1-2，战士血量125，法师50，道士75。
36,hanghuifangyu3,3级行会防御,1,1,1,1,0,0,34048,,,,,hanghuifangyu3,,604800,,0,0,5,100;150;150,101;60;60,102;90;90,9;2;3,10;2;3,,,0,,,,,,3级行会防御：防御2-3，魔防2-3，战士血量150，法师60，道士90。
37,monsuolian,生命锁链,1,1,1,1,1,1,,45389,,,,,5,,,0,0,,,,,,,,,,,,,,,
38,zhimingbiaoji_1,致命标记,1,1,1,1,1,1,,45390,,,,,5,,,0,0,,,,,,,,,,,,,,,
39,jjcjiacheng2,二人队伍属性,1,0,0,1,0,0,34047,,,,,jjcjiacheng2,,600,,0,0,3,105;100;100,9;0;50,10;0;50,,,,,0,,,,,,二人队伍专属加成BUFF，增加100攻击上限和50点双防上限
40,jjcjiacheng3,三人队伍属性,1,0,0,1,0,0,34047,,,,,jjcjiacheng3,,600,,0,0,3,105;60;60,9;0;30,100;1750;1750,101;700;700,101;1050;1050,,,0,,,,,,三人队伍专属加成BUFF，增加60攻击上限和30点双防上限
41,jjcjiacheng4,四人队伍属性,1,0,0,1,0,0,34047,,,,,jjcjiacheng4,,600,,0,0,3,105;20;20,9;0;10,10;0;10,,,,,0,,,,,,四人队伍专属加成BUFF，增加20攻击上限和10点双防上限
42,jjcjiacheng5,五人队伍属性,1,0,0,1,0,0,34047,,,,,jjcjiacheng5,,600,,0,0,3,105;3;3,9;0;1,10;0;1,,,,,0,,,,,,五人队伍专属加成BUFF，增加3攻击上限和1点双防上限
43,jjcjiacheng12,二人队伍属性,1,0,0,1,0,0,34047,,,,,jjcjiacheng2,,600,,0,0,3,105;20000;20000,9;0;10000,10;0;10000,,,,,0,,,,,,二人队伍专属加成BUFF，增加100攻击上限和50点双防上限
44,jjcjiacheng13,三人队伍属性,1,0,0,1,0,0,34047,,,,,jjcjiacheng3,,600,,0,0,3,105;12000;12000,9;0;6000,10;0;6000,,,,,0,,,,,,三人队伍专属加成BUFF，增加60攻击上限和30点双防上限
45,jjcjiacheng14,四人队伍属性,1,0,0,1,0,0,34047,,,,,jjcjiacheng4,,600,,0,0,3,105;4000;4000,9;0;2000,10;0;2000,,,,,0,,,,,,四人队伍专属加成BUFF，增加20攻击上限和10点双防上限
46,jjcjiacheng15,五人队伍属性,1,0,0,1,0,0,34047,,,,,jjcjiacheng5,,600,,0,0,3,105;500;500,9;0;200,10;0;200,,,,,0,,,,,,五人队伍专属加成BUFF，增加3攻击上限和1点双防上限
47,hanghuigongji4,4级行会攻击,1,1,1,1,0,0,34047,,,,,hanghuigongji4,,604800,,0,0,1,105;6;6,,,,,,,0,,,,,,4级行会攻击：攻击6-6
48,hanghuigongji5,5级行会攻击,1,1,1,1,0,0,34047,,,,,hanghuigongji5,,604800,,0,0,1,105;7;7,,,,,,,0,,,,,,5级行会攻击：攻击7-7
49,hanghuifangyu4,4级行会防御,1,1,1,1,0,0,34048,,,,,hanghuifangyu4,,604800,,0,0,5,100;175;175,101;70;70,102;105;105,9;3;4,10;3;4,,,0,,,,,,4级行会防御：防御3-4，魔防3-4，战士血量175，法师70，道士105。
50,hanghuifangyu5,5级行会防御,1,1,1,1,0,0,34048,,,,,hanghuifangyu5,,604800,,0,0,5,100;200;200,101;80;80,102;120;120,9;4;5,10;4;5,,,0,,,,,,5级行会防御：防御4-5，魔防4-5，战士血量200，法师80，道士120。
51,QianKunFeiJian_DmgBuff,乾坤飞剑伤害易伤buff,1,0,0,1,0,0,34047,,,,,,,10,,0,,0,,,,,,,,,,,,,,
52,qianghuajinganghuti,金刚护体强化,1,0,0,1,0,0,,,,,,qianghuajinganghuti,,60,,0,0,4,1;100;100,2;3;3,9;3;3,10;3;3,,,,,,,,,,
53,qianghuafengyingdun,风影盾强化,1,0,0,1,0,0,,,,,,qianghuafengyingdun,,60,,0,0,1,2;5;5,,,,,,,,,,,,,
54,qianghuashenshengzhanjia,神圣战甲术强化,1,0,0,1,0,0,,,,,,qianghuashenshengzhanjia,,60,,0,0,1,9;5;5,,,,,,,,,,,,,
55,qianghuayoulingdun,幽灵盾强化,1,0,0,1,0,0,,,,,,qianghuayoulingdun,,60,,0,0,1,10;5;5,,,,,,,,,,,,,
56,zhisixiaoguo,致死效果,1,0,0,1,0,0,,,,,,zhisixiaoguo,,5,,0,0,1,121;20;20,,,,,,,,,,,,,
57,zengshangjiacheng,增伤加成,1,0,0,1,0,0,,,,,,zengshangjiacheng,,360000,,0,0,1,120;30;30,,,,,,,,,,,,,
58,fabaoshanghaijiangdi,法宝伤害减免,1,0,0,1,0,0,,,,,,fabaoshanghaijiangdi,,360000,,0,0,1,122;20;20,,,,,,,,,,,,,
59,moqi_dunpai_normal,盾牌常规护盾,1,0,0,1,0,0,34048,5928,5929,1,,,,10,,0,0,0,,,,,,,,,,,,,,
60,moqi_xuanwu,玄武之力,1,0,0,1,0,0,34047,,,,,moqi_xuanwu,,10,,0,0,1,89;15;15,,,,,,,,,,,,,
61,moqi_zhuque,朱雀之力,1,0,0,1,0,0,34047,,,,,moqi_zhuque,,10,,0,0,1,45;100;100,,,,,,,,,,,,,
62,moqi_baihu,白虎之力,1,0,0,1,0,0,34047,,,,,moqi_baihu,,10,,0,0,1,105;50;50,,,,,,,,,,,,,
63,moqi_qinglong,青龙之力,1,0,0,1,0,0,34047,,,,,moqi_qinglong,,10,,0,0,1,124;40;40,,,,,,,,,,,,,
64,moqi_special1,暴君之怒,1,0,0,1,0,0,34047,,,,,moqi_special1,,10,,0,0,2,106;100;100,107;100;100,,,,,,,,,,,,
65,baonu1,暴怒1,1,0,0,1,0,0,,,,,,,,10,,0,0,0,,,,,,,,,,,,,,
66,baonu2,暴怒2,1,0,0,1,0,0,,,,,,,,10,,0,0,0,,,,,,,,,,,,,,
67,baonu3,暴怒3,1,0,0,1,0,0,,,,,,,,10,,0,0,0,,,,,,,,,,,,,,
68,fanshang,荆棘,1,0,0,1,0,0,,,,,,,,10,,0,0,0,,,,,,,,,,,,,,
69,xuruo,虚弱,2,0,0,1,0,0,34048,5947,5948,1,,,,25,,0,20,0,,,,,,,,2,125;10;10,126;10;10,,,,受到伤害提升1%，效果最多可以叠加20层
70,zhongzhouyinghao,中州英豪,1,0,0,1,0,0,,,,,,,,30,,0,0,1,118;20;20,,,,,,,,,,,,,免伤效果+5%，打怪经验增加30%
71,shenwutianwang,神武天王,1,0,0,1,0,0,,,,,,,,30,,0,0,1,120;20;20,,,,,,,,,,,,,增伤效果+5%，被麻痹几率降低10%
72,moqi_zhuque1,朱雀之力,1,0,0,1,0,0,34047,,,,,moqi_zhuque1,,10,,0,0,1,37;30;30,,,,,,,,,,,,,
73,moqi_baihu1,白虎之力,1,0,0,1,0,0,34047,,,,,moqi_baihu1,,10,,0,0,1,105;50000;50000,,,,,,,,,,,,,
74,moqi_qinglong1,青龙之力,1,0,0,1,0,0,34047,,,,,moqi_qinglong1,,10,,0,0,1,124;10000;10000,,,,,,,,,,,,,
75,moqi_special,暴君之怒,1,0,0,1,0,0,34047,,,,,moqi_special,,10,,0,0,2,106;1000;1000,107;1000;1000,,,,,,,,,,,,
76,moqi_zhuque2,朱雀之力,1,0,0,1,0,0,34047,,,,,moqi_zhuque2,,10,,0,0,1,45;100;100,,,,,,,,,,,,,
77,moqi_baihu2,白虎之力,1,0,0,1,0,0,34047,,,,,moqi_baihu2,,10,,0,0,1,105;120;120,,,,,,,,,,,,,
78,moqi_qinglong2,青龙之力,1,0,0,1,0,0,34047,,,,,moqi_qinglong2,,10,,0,0,1,124;40;40,,,,,,,,,,,,,
79,moqi_special2,暴君之怒,1,0,0,1,0,0,34047,,,,,moqi_special2,,10,,0,0,2,106;500;500,107;500;500,,,,,,,,,,,,
80,xuruo1,珍宝的灼烧,1,0,0,1,1,0,34048,5947,5948,1,,,,3600,,0,0,2,125;100;100,126;100;100,,,,,,0,,,,,,宝盒持有者受到的伤害提升10%
81,faxiangtiandi1,法相天地1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;4;8,9;3;4,10;3;4,127;3;3,,,,,,,,,,1级法相天地:法宝伤害增加3%，防御3-4，魔防3-4，攻击4-8
82,faxiangtiandi2,法相天地2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;8;16,9;6;8,10;6;8,127;6;6,,,,,,,,,,2级法相天地:法宝伤害增加6%，防御6-8，魔防6-8，攻击8-16
83,faxiangtiandi3,法相天地3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;12;24,9;9;12,10;9;12,127;9;9,,,,,,,,,,3级法相天地:法宝伤害增加9%，防御9-12，魔防9-12，攻击12-24
84,faxiangtiandi4,法相天地4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;16;32,9;12;16,10;12;16,127;12;12,,,,,,,,,,4级法相天地:法宝伤害增加12%，防御12-16，魔防12-16，攻击16-32
85,faxiangtiandi5,法相天地5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;20;40,9;15;20,10;15;20,127;15;15,,,,,,,,,,5级法相天地:法宝伤害增加15%，防御15-20，魔防15-20，攻击20-40
86,wudi1hp,怪物用无敌,1,0,0,1,0,0,,,,,,,,60,,0,0,0,,,,,,,,,,,,,,
87,yuyipaihang1,鸿衣羽裳1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;5;5,53;2;2,105;2;2,,,,,,,,,,,1级鸿衣羽裳:攻击2-2，暴击伤害2%，增伤等级5
88,yuyipaihang2,鸿衣羽裳2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;10;10,53;4;4,105;4;4,,,,,,,,,,,2级鸿衣羽裳:攻击4-4，暴击伤害4%，增伤等级10
89,yuyipaihang3,鸿衣羽裳3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;15;15,53;6;6,105;6;6,,,,,,,,,,,3级鸿衣羽裳:攻击6-6，暴击伤害6%，增伤等级15
90,yuyipaihang4,鸿衣羽裳4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;20;20,53;8;8,105;8;8,,,,,,,,,,,4级鸿衣羽裳:攻击8-8，暴击伤害8%，增伤等级20
91,yuyipaihang5,鸿衣羽裳5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;30;30,53;10;10,105;10;10,,,,,,,,,,,5级鸿衣羽裳:攻击10-10，暴击伤害10%，增伤等级30
92,shoushenjuexing1,兽神觉醒1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,105;2;2,45;20;20,120;5;5,,,,,,,,,,,1级兽神觉醒:攻击2-2，暴击等级20，增伤等级5
93,shoushenjuexing2,兽神觉醒2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,105;4;4,45;40;40,120;10;10,,,,,,,,,,,2级兽神觉醒:攻击4-4，暴击等级40，增伤等级10
94,shoushenjuexing3,兽神觉醒3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,105;6;6,45;60;60,120;15;15,,,,,,,,,,,3级兽神觉醒:攻击6-6，暴击等级60，增伤等级15
95,shoushenjuexing4,兽神觉醒4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,105;10;10,45;80;80,120;20;20,,,,,,,,,,,4级兽神觉醒:攻击10-10，暴击等级80，增伤等级20
96,shoushenjuexing5,兽神觉醒5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,105;15;15,45;120;120,120;30;30,,,,,,,,,,,5级兽神觉醒:攻击15-15，暴击等级120，增伤等级30
97,xiuluozhanshen1,修罗战神1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;2;4,99;40;40,9;0;2,10;0;2,,,,,,,,,,1级修罗战神：攻击2-4，防御0-2，魔防0-2，战士血量200，法师80，道士120。
98,xiuluozhanshen2,修罗战神2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;4;8,99;80;80,9;0;4,10;0;4,,,,,,,,,,2级修罗战神：攻击4-8，防御0-4，魔防0-4，战士血量400，法师160，道士240。
99,xiuluozhanshen3,修罗战神3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;6;12,99;120;120,9;1;6,10;1;6,,,,,,,,,,3级修罗战神：攻击6-12，防御1-6，魔防1-6，战士血量600，法师240，道士360。
100,xiuluozhanshen4,修罗战神4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;10;20,99;200;200,9;2;8,10;2;8,,,,,,,,,,4级修罗战神：攻击10-20，防御2-8，魔防2-8，战士血量1000，法师400，道士600。
101,xiuluozhanshen5,修罗战神5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;15;30,99;400;400,9;3;10,10;3;10,,,,,,,,,,5级修罗战神：攻击15-30，防御3-10，魔防3-10，战士血量2000，法师800，道士1200。
102,zhongzhouyinghao1,中州英豪,1,1,1,1,1,0,,,,,,,,0,,0,0,2,77;20;20,99;20;20,,,,,,,,,,,,
103,faxiangtiandi11,法相天地1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;2000;2000,127;3;3,,,,,,,,,,,,1级法相天地:法宝伤害增加3%，攻击2000-2000
104,faxiangtiandi21,法相天地2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;4000;4000,127;6;6,,,,,,,,,,,,2级法相天地:法宝伤害增加6%，攻击4000-4000
105,faxiangtiandi31,法相天地3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;6000;6000,127;9;9,,,,,,,,,,,,3级法相天地:法宝伤害增加9%，攻击6000-6000
106,faxiangtiandi41,法相天地4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;8000;8000,127;12;12,,,,,,,,,,,,4级法相天地:法宝伤害增加12%，攻击8000-8000
107,faxiangtiandi51,法相天地5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;10000;10000,127;15;15,,,,,,,,,,,,5级法相天地:法宝伤害增加15%，攻击10000-10000
108,yuyipaihang11,鸿衣羽裳1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;5;5,53;2;2,105;2000;2000,,,,,,,,,,,1级鸿衣羽裳:攻击2000-2000，暴击伤害2%，增伤等级5
109,yuyipaihang21,鸿衣羽裳2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;10;10,53;4;4,105;4000;4000,,,,,,,,,,,2级鸿衣羽裳:攻击4000-4000，暴击伤害4%，增伤等级10
110,yuyipaihang31,鸿衣羽裳3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;15;15,53;6;6,105;6000;6000,,,,,,,,,,,3级鸿衣羽裳:攻击6000-6000，暴击伤害6%，增伤等级15
111,yuyipaihang41,鸿衣羽裳4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;20;20,53;8;8,105;8000;8000,,,,,,,,,,,4级鸿衣羽裳:攻击8000-8000，暴击伤害8%，增伤等级20
112,yuyipaihang51,鸿衣羽裳5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,3,120;30;30,53;10;10,105;10000;10000,,,,,,,,,,,5级鸿衣羽裳:攻击10000-10000，暴击伤害10%，增伤等级30
113,shoushenjuexing11,兽神觉醒1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;2000;2000,120;5;5,,,,,,,,,,,,1级兽神觉醒:攻击2000-2000，增伤等级5
114,shoushenjuexing21,兽神觉醒2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;4000;4000,120;10;10,,,,,,,,,,,,2级兽神觉醒:攻击4000-4000，增伤等级10
115,shoushenjuexing31,兽神觉醒3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;6000;6000,120;15;15,,,,,,,,,,,,3级兽神觉醒:攻击6000-6000，增伤等级15
116,shoushenjuexing41,兽神觉醒4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;8000;8000,120;20;20,,,,,,,,,,,,4级兽神觉醒:攻击8000-8000，增伤等级20
117,shoushenjuexing51,兽神觉醒5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;10000;10000,120;30;30,,,,,,,,,,,,5级兽神觉醒:攻击10000-10000，增伤等级30
118,xiuluozhanshen11,修罗战神1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;2000;2000,99;4000;4000,,,,,,,,,,,,1级修罗战神：攻击2000-2000，战士血量20000，法师8000，道士12000，妖士血量20000。
119,xiuluozhanshen21,修罗战神2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;4000;4000,99;8000;8000,,,,,,,,,,,,2级修罗战神：攻击4000-4000，战士血量40000，法师16000，道士24000，妖士血量40000。
120,xiuluozhanshen31,修罗战神3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;6000;6000,99;12000;12000,,,,,,,,,,,,3级修罗战神：攻击6000-6000，战士血量60000，法师24000，道士36000，妖士血量60000。
121,xiuluozhanshen41,修罗战神4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;8000;8000,99;20000;20000,,,,,,,,,,,,4级修罗战神：攻击8000-8000，战士血量100000，法师40000，道士60000，妖士血量100000。
122,xiuluozhanshen51,修罗战神5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,2,105;10000;10000,99;40000;40000,,,,,,,,,,,,5级修罗战神：攻击10000-10000，战士血量200000，法师80000，道士120000，妖士血量200000。
123,hanghuigongji6,6级行会攻击,1,1,1,1,0,0,34047,,,,,hanghuigongji6,,604800,,0,0,1,105;9;9,,,,,,,0,,,,,,6级行会攻击：攻击9-9
124,hanghuigongji7,7级行会攻击,1,1,1,1,0,0,34047,,,,,hanghuigongji7,,604800,,0,0,1,105;9;11,,,,,,,0,,,,,,7级行会攻击：攻击9-11
125,hanghuigongji8,8级行会攻击,1,1,1,1,0,0,34047,,,,,hanghuigongji8,,604800,,0,0,1,105;9;13,,,,,,,,,,,,,8级行会攻击：攻击9-13
126,hanghuigongji9,9级行会攻击,1,1,1,1,0,0,34047,,,,,hanghuigongji9,,604800,,0,0,1,105;9;15,,,,,,,,,,,,,9级行会攻击：攻击9-15
127,hanghuigongji10,10级行会攻击,1,1,1,1,0,0,34047,,,,,hanghuigongji10,,604800,,0,0,1,105;9;17,,,,,,,,,,,,,10级行会攻击：攻击9-17
128,hanghuifangyu6,6级行会防御,1,1,1,1,0,0,34048,,,,,hanghuifangyu6,,604800,,0,0,5,100;250;250,101;100;100,102;150;150,9;4;6,10;4;6,,,0,,,,,,6级行会防御：防御4-6，魔防4-6，战士血量250，法师100，道士150。
129,hanghuifangyu7,7级行会防御,1,1,1,1,0,0,34048,,,,,hanghuifangyu7,,604800,,0,0,5,100;300;300,101;120;120,102;180;180,9;4;7,10;4;7,,,0,,,,,,7级行会防御：防御4-7，魔防4-7，战士血量300，法师120，道士180。
130,hanghuifangyu8,8级行会防御,1,1,1,1,0,0,34048,,,,,hanghuifangyu8,,604800,,0,0,5,100;350;350,101;140;140,102;210;210,9;4;8,10;4;8,,,,,,,,,8级行会防御：防御4-8，魔防4-8，战士血量350，法师140，道士210。
131,hanghuifangyu9,9级行会防御,1,1,1,1,0,0,34048,,,,,hanghuifangyu9,,604800,,0,0,5,100;400;400,101;160;160,102;240;240,9;4;9,10;4;9,,,,,,,,,9级行会防御：防御4-9，魔防4-9，战士血量400，法师160，道士240。
132,hanghuifangyu10,10级行会防御,1,1,1,1,0,0,34048,,,,,hanghuifangyu10,,604800,,0,0,5,100;450;450,101;180;180,102;270;270,9;4;10,10;4;10,,,,,,,,,10级行会防御：防御4-10，魔防4-10，战士血量450，法师180，道士270。
