#Level ,ACMIN,ACMAX,MACMIN,MACMAX,DCMIN,DCMAX,MCMIN,MCMAX,SCMIN,SCMAX,HP,MP,背包,负重,腕力,命中,敏捷,魔法恢复,体力恢复,魔法躲避,魔法命中,中毒躲避,中毒命中,活力,升级经验
31,0,0,0,0,3,4,3,4,0,0,134,572,242,25,23,5,15,32,2,1,0,0,0,0,2400000
32,0,0,0,0,3,4,3,4,0,0,140,604,255,25,23,5,15,34,2,1,0,0,0,0,2800000
33,0,0,0,0,3,4,3,4,0,0,146,637,268,26,24,5,15,36,2,1,0,0,0,0,3200000
34,0,0,0,0,3,4,3,4,0,0,152,671,281,27,25,5,15,38,3,1,0,0,0,0,3600000
35,0,0,0,0,4,5,4,5,0,0,159,706,295,27,26,5,15,40,3,1,0,0,0,0,4000000
36,0,0,0,0,4,5,4,5,0,0,165,742,309,28,26,5,15,42,3,1,0,0,0,0,4800000
37,0,0,0,0,4,5,4,5,0,0,172,778,324,29,27,5,15,44,3,1,0,0,0,0,5600000
38,0,0,0,0,4,5,4,5,0,0,179,816,339,29,28,5,15,46,3,1,0,0,0,0,8200000
39,0,0,0,0,4,5,4,5,0,0,186,854,354,30,29,5,15,48,3,1,0,0,0,0,9000000
40,0,0,0,0,5,6,4,6,0,0,193,893,370,31,30,5,15,50,3,1,0,0,0,0,12000000
41,0,0,0,0,5,6,4,6,0,0,200,933,386,32,31,5,15,52,3,1,0,0,0,0,16000000
42,0,0,0,0,5,6,5,6,0,0,207,974,403,33,32,5,15,55,3,1,0,0,0,0,30000000
43,0,0,0,0,5,6,5,6,0,0,215,1016,420,33,33,5,15,57,3,1,0,0,0,0,50000000
44,0,0,0,0,5,6,5,6,0,0,222,1058,437,34,34,5,15,59,4,1,0,0,0,0,80000000
45,0,0,0,0,5,6,5,6,0,0,230,1102,455,35,34,5,15,62,4,1,0,0,0,0,120000000
46,0,0,0,0,5,6,5,6,0,0,238,1146,473,36,36,5,15,64,4,1,0,0,0,0,480000000
47,0,0,0,0,5,6,5,6,0,0,246,1192,492,37,37,5,15,67,4,1,0,0,0,0,510000000
48,0,0,0,0,5,6,5,6,0,0,254,1238,511,38,38,5,15,69,4,1,0,0,0,0,560000000
49,0,0,0,0,6,7,6,7,0,0,262,1285,530,39,39,5,15,72,4,1,0,0,0,0,560000000
50,0,0,0,0,6,7,6,7,0,0,271,1333,550,40,40,5,15,75,4,1,0,0,0,0,560000000
51,0,0,0,0,6,7,6,7,0,0,280,1382,570,41,41,5,15,78,5,1,0,0,0,0,560000000
52,0,0,0,0,6,7,6,7,0,0,288,1432,591,41,42,5,15,80,5,1,0,0,0,0,560000000
53,0,0,0,0,6,7,6,7,0,0,297,1482,612,42,44,5,15,83,5,1,0,0,0,0,560000000
54,0,0,0,0,6,7,6,7,0,0,306,1534,633,43,45,5,15,86,5,1,0,0,0,0,560000000
55,0,0,0,0,6,7,6,7,0,0,315,1586,655,44,46,5,15,89,5,1,0,0,0,0,560000000
56,0,0,0,0,7,8,7,8,0,0,324,1639,677,45,47,5,15,92,5,1,0,0,0,0,560000000
57,0,0,0,0,7,8,7,8,0,0,333,1693,700,46,49,5,15,95,6,1,0,0,0,0,560000000
58,0,0,0,0,7,8,7,8,0,0,342,1748,723,47,50,5,15,98,6,1,0,0,0,0,560000000
59,0,0,0,0,7,8,7,8,0,0,352,1804,747,48,51,5,15,101,6,1,0,0,0,0,560000000
60,0,0,0,0,7,8,7,8,0,0,361,1860,771,48,52,5,15,104,6,1,0,0,0,0,560000000
61,0,0,0,0,7,8,8,8,0,0,371,1897,796,49,53,5,15,107,6,1,0,0,0,0,560000000
62,0,0,0,0,7,8,8,8,0,0,381,1935,822,50,54,5,15,110,6,1,0,0,0,0,560000000
63,0,0,0,0,8,9,8,9,0,0,392,1973,849,52,55,5,15,113,6,1,0,0,0,0,560000000
64,0,0,0,0,8,9,8,9,0,0,403,2011,876,53,56,5,15,116,7,1,0,0,0,0,560000000
65,0,0,0,0,8,9,8,9,0,0,415,2049,914,54,57,5,15,119,7,1,0,0,0,0,560000000
66,0,0,0,0,8,9,9,9,0,0,427,2088,953,55,58,5,15,122,7,1,0,0,0,0,560000000
67,0,0,0,0,8,9,9,9,0,0,439,2128,993,56,59,5,15,125,7,1,0,0,0,0,560000000
68,0,0,0,0,8,9,9,9,0,0,452,2149,1033,57,60,5,15,128,7,1,0,0,0,0,560000000
69,0,0,0,0,8,9,9,9,0,0,465,2190,1074,58,61,5,15,131,7,1,0,0,0,0,560000000
70,0,0,0,0,9,10,9,10,0,0,479,2232,1115,60,62,5,15,134,7,1,0,0,0,0,3600000000
71,0,0,0,0,9,10,10,10,0,0,493,2274,1147,62,63,5,15,137,7,1,0,0,0,0,3600000000
72,0,0,0,0,9,10,10,10,0,0,508,2307,1179,64,64,5,15,140,7,1,0,0,0,0,3600000000
73,0,0,0,0,9,10,10,10,0,0,524,2340,1201,66,65,5,15,143,7,1,0,0,0,0,3600000000
74,0,0,0,0,9,10,10,10,0,0,540,2373,1213,66,66,5,15,146,7,1,0,0,0,0,3600000000
75,0,0,0,0,9,10,10,10,0,0,556,2406,1226,67,67,5,15,149,7,1,0,0,0,0,3600000000
76,0,0,0,0,9,10,11,10,0,0,572,2440,1239,67,68,5,15,152,8,1,0,0,0,0,3600000000
77,0,0,0,0,9,10,11,10,0,0,588,2474,1252,68,69,5,15,155,8,1,0,0,0,0,3600000000
78,0,0,0,0,9,10,11,10,0,0,606,2508,1266,68,70,5,15,158,8,1,0,0,0,0,3600000000
79,0,0,0,0,9,10,11,10,0,0,622,2543,1280,69,70,5,15,161,8,1,0,0,0,0,3600000000
80,0,0,0,0,9,10,11,10,0,0,638,2578,1295,69,71,5,15,164,8,1,0,0,0,0,3600000000
81,0,0,0,0,9,11,12,10,0,0,654,2613,1310,70,71,5,15,167,8,1,0,0,0,0,3600000000
82,0,0,0,0,10,11,12,11,0,0,670,2648,1325,70,72,5,15,170,8,1,0,0,0,0,3600000000
83,0,0,0,0,10,11,12,11,0,0,686,2683,1340,71,73,5,15,173,8,1,0,0,0,0,3600000000
84,0,0,0,0,10,11,12,11,0,0,702,2718,1355,72,74,5,15,176,8,1,0,0,0,0,3600000000
85,0,0,0,0,10,11,12,11,0,0,718,2753,1370,73,74,5,15,179,8,1,0,0,0,0,3600000000
86,0,0,0,0,10,11,13,11,0,0,734,2788,1385,74,75,5,15,182,8,1,0,0,0,0,3600000000
87,0,0,0,0,10,11,13,11,0,0,750,2823,1400,74,76,5,15,185,8,1,0,0,0,0,3600000000
88,0,0,0,0,10,11,13,11,0,0,766,2858,1415,75,76,5,15,188,9,1,0,0,0,0,3600000000
89,0,0,0,0,10,11,13,11,0,0,782,2893,1430,76,77,5,15,191,9,1,0,0,0,0,3600000000
90,0,0,0,0,10,11,13,11,0,0,799,2928,1445,77,78,5,15,194,9,1,0,0,0,0,3600000000
91,0,0,0,0,14,15,14,15,0,0,679,3922,1180,83,84,5,15,195,10,0,0,0,0,0,3600000000
92,0,0,0,0,14,15,14,15,0,0,688,3982,1191,84,85,5,15,195,10,0,0,0,0,0,3600000000
93,0,0,0,0,14,15,14,15,0,0,697,4042,1202,85,86,5,15,195,10,0,0,0,0,0,3600000000
94,0,0,0,0,14,15,14,15,0,0,706,4104,1213,86,87,5,15,195,10,0,0,0,0,0,3600000000
95,0,0,0,0,14,15,14,15,0,0,715,4166,1225,87,88,5,15,195,10,0,0,0,0,0,3600000000
96,0,0,0,0,15,16,15,16,0,0,724,4229,1237,88,89,5,15,195,10,0,0,0,0,0,3600000000
97,0,0,0,0,15,16,15,16,0,0,733,4283,1240,89,90,5,15,195,10,0,0,0,0,0,3600000000
98,0,0,0,0,15,16,15,16,0,0,743,4348,1253,90,91,5,15,195,10,0,0,0,0,0,3600000000
99,0,0,0,0,15,16,15,16,0,0,752,4404,1266,91,92,5,15,195,10,0,0,0,0,0,3600000000
