#Level ,ACMIN,ACMAX,MACMIN,MACMAX,DCMIN,DCMAX,MCMIN,MCMAX,SCMIN,SCMAX,HP,MP,背包,负重,腕力,命中,敏捷,魔法恢复,体力恢复,魔法躲避,魔法命中,中毒躲避,中毒命中,活力,升级经验
50,0,0,6,9,6,7,0,0,6,7,556,701,675,65,72,5,18,39,8,1,0,0,0,0,560000000
51,0,0,6,9,6,7,0,0,6,7,575,729,700,67,75,5,18,40,8,1,0,0,0,0,560000000
52,0,0,6,10,6,7,0,0,6,7,594,758,726,69,77,5,18,41,8,1,0,0,0,0,560000000
53,0,0,6,10,6,7,0,0,6,7,614,787,752,70,80,5,18,43,8,1,0,0,0,0,560000000
54,0,0,6,10,6,7,0,0,6,7,634,815,779,73,82,5,18,44,9,1,0,0,0,0,560000000
55,0,0,6,10,6,8,0,0,6,8,654,845,806,75,84,5,18,46,9,1,0,0,0,0,560000000
56,0,0,7,10,7,8,0,0,7,8,675,875,834,77,86,5,18,48,9,1,0,0,0,0,560000000
57,0,0,7,11,7,8,0,0,7,8,696,904,862,79,89,5,18,50,10,1,0,0,0,0,560000000
58,0,0,7,11,7,8,0,0,7,8,717,935,891,81,92,5,18,52,10,1,0,0,0,0,560000000
59,0,0,7,11,7,8,0,0,7,8,739,966,920,83,94,5,18,54,10,1,0,0,0,0,560000000
60,0,0,7,11,7,8,0,0,7,8,761,997,950,86,97,5,18,56,10,1,0,0,0,0,560000000
61,0,0,7,11,8,8,0,0,8,8,783,1028,980,89,100,5,18,58,10,1,0,0,0,0,560000000
62,0,0,7,11,8,8,0,0,8,8,806,1060,1011,92,103,5,18,60,11,1,0,0,0,0,560000000
63,0,0,8,11,8,9,0,0,8,9,830,1093,1042,96,106,5,18,62,11,1,0,0,0,0,560000000
64,0,0,8,12,8,9,0,0,8,9,855,1127,1074,99,109,5,18,64,11,1,0,0,0,0,560000000
65,0,0,8,12,8,9,0,0,8,9,881,1162,1107,102,112,5,18,66,11,1,0,0,0,0,560000000
66,0,0,8,12,9,9,0,0,9,9,908,1198,1141,105,115,5,18,68,11,1,0,0,0,0,560000000
67,0,0,8,12,9,9,0,0,9,9,936,1235,1176,108,118,5,18,70,12,1,0,0,0,0,560000000
68,0,0,8,12,9,9,0,0,9,9,965,1263,1212,111,121,5,18,72,12,1,0,0,0,0,560000000
69,0,0,8,12,9,9,0,0,9,9,995,1292,1248,114,124,5,18,74,12,1,0,0,0,0,560000000
70,0,0,8,12,9,9,0,0,9,9,1025,1322,1284,117,127,5,18,76,12,1,0,0,0,0,580000000
71,0,0,9,12,10,10,0,0,10,10,1056,1352,1320,120,130,5,18,76,12,1,0,0,0,0,580000000
72,0,0,9,12,10,10,0,0,10,10,1088,1383,1357,123,133,5,18,78,12,1,0,0,0,0,580000000
73,0,0,9,12,10,10,0,0,10,10,1120,1415,1394,126,136,5,18,80,12,1,0,0,0,0,580000000
74,0,0,9,12,10,10,0,0,10,10,1152,1448,1431,129,139,5,18,82,13,1,0,0,0,0,580000000
75,0,0,9,12,10,10,0,0,10,10,1184,1482,1469,132,142,5,18,84,13,1,0,0,0,0,580000000
76,0,0,9,13,11,10,0,0,11,10,1216,1518,1508,135,145,5,18,86,13,1,0,0,0,0,580000000
77,0,0,9,13,11,10,0,0,11,10,1248,1554,1546,138,148,5,18,88,13,1,0,0,0,0,580000000
78,0,0,9,13,11,10,0,0,11,10,1280,1590,1584,141,152,5,18,90,13,1,0,0,0,0,580000000
79,0,0,9,13,11,10,0,0,11,10,1312,1626,1622,144,155,5,18,92,13,1,0,0,0,0,580000000
80,0,0,9,13,11,10,0,0,11,10,1344,1662,1658,147,158,5,18,94,13,1,0,0,0,0,580000000
81,0,0,9,13,12,10,0,0,12,10,1376,1698,1694,150,161,5,18,96,13,1,0,0,0,0,580000000
82,0,0,9,13,12,10,0,0,12,11,1408,1734,1730,153,164,5,18,96,13,1,0,0,0,0,580000000
83,0,0,10,13,12,11,0,0,12,11,1440,1770,1766,156,167,5,18,98,13,1,0,0,0,0,3600000000
84,0,0,10,13,12,11,0,0,12,11,1472,1806,1802,159,170,5,18,100,13,1,0,0,0,0,3600000000
85,0,0,10,13,12,11,0,0,12,11,1508,1840,1838,162,173,5,18,102,13,1,0,0,0,0,3600000000
86,0,0,10,13,13,11,0,0,13,11,1544,1874,1874,165,176,5,18,104,13,1,0,0,0,0,3600000000
87,0,0,10,13,13,11,0,0,13,11,1580,1910,1910,168,179,5,18,106,13,1,0,0,0,0,3600000000
88,0,0,10,13,13,11,0,0,13,11,1616,1946,1946,171,182,5,18,108,13,1,0,0,0,0,3600000000
89,0,0,10,13,13,11,0,0,13,11,1652,1982,1982,174,185,5,18,110,13,1,0,0,0,0,3600000000
90,0,0,10,13,13,11,0,0,13,11,1688,2018,2018,177,188,5,18,112,13,1,0,0,0,0,3600000000
91,0,0,12,18,14,15,0,0,14,15,1385,2038,1630,149,167,5,18,113,14,1,0,0,0,0,3600000000
92,0,0,12,18,14,15,0,0,14,15,1405,2067,1656,151,169,5,18,113,14,1,0,0,0,0,3600000000
93,0,0,12,18,14,15,0,0,14,15,1425,2095,1672,153,171,5,18,113,14,1,0,0,0,0,3600000000
94,0,0,12,18,14,15,0,0,14,15,1445,2125,1699,155,173,5,18,113,14,1,0,0,0,0,3600000000
95,0,0,12,18,14,15,0,0,14,15,1466,2155,1716,157,175,5,18,113,14,1,0,0,0,0,3600000000
96,0,0,13,19,15,16,0,0,15,16,1487,2185,1734,159,177,5,18,113,14,1,0,0,0,0,3600000000
97,0,0,13,19,15,16,0,0,15,16,1508,2216,1752,161,179,5,18,113,14,1,0,0,0,0,3600000000
98,0,0,13,19,15,16,0,0,15,16,1520,2248,1771,163,181,5,18,113,14,1,0,0,0,0,3600000000
99,0,0,13,19,15,16,0,0,15,16,1542,2270,1790,165,183,5,18,113,14,1,0,0,0,0,3600000000
