#NPC名字,Data id,外观,地图ID,坐标X, 坐标Y, 是否可以对话,与玩家距离,脚本对应的文本名字,购买百分比,出售百分比
#中州外,,,,,,,,,,
,,,,,,,,,,
#百兽园,,,,,,,,,,
尸王,25709,0x15,257,13,9,1,,百兽园二,,
铜人,25704,0x1b,257,20,9,1,,百兽园二,,
尸卫战将,25703,0x1a,257,23,12,1,,百兽园二,,
白蛇妖,25705,0x14,257,15,23,1,,百兽园二,,
逆魔弓箭手,25706,0x1c,257,19,28,1,,百兽园二,,
利爪魔,25710,0x17,257,16,11,1,,百兽园二,,
强化尸王,25709,0x15,257,8,9,1,,百兽园一,,
强化铜人,25704,0x1b,257,5,11,1,,百兽园一,,
妖力士,25708,0x18,257,9,18,1,,百兽园二,,
藤妖,25701,0x1e,257,8,22,1,,百兽园二,,
强化藤妖,25701,0x1e,257,4,25,1,,百兽园一,,
强化妖力士,25708,0x18,257,8,28,1,,百兽园一,,
招魂使,25702,0x16,257,12,22,1,,百兽园二,,
强化尸卫战将,25703,0x1a,257,13,29,1,,百兽园一,,
强化利爪魔,25710,0x17,257,16,31,1,,百兽园一,,
强化白蛇妖,25705,0x14,257,20,29,1,,百兽园一,,
强化逆魔弓箭手,25706,0x1c,257,16,25,1,,百兽园一,,
强化招魂使,25702,0x16,257,12,15,1,,百兽园一,,
邪恶士兵 ,25707,0x22,257,14,17,1,,百兽园二,,
强化邪恶士兵,25707,0x22,257,18,14,1,,百兽园一,,
,,,,,,,,,,
#海角村,,,,,,,,,,
老兵,1,0x00,16,406,619,1,,海角村老兵,,
新手向导,1,0x3,16,399,590,1,,海角村新手向导,,
仓库,1,0x2,16,431,614,1,,客栈掌柜,,
首饰店,1610,0xc,16,394,634,1,,海角村首饰店,100,50
建材商,1611,0x1,16,425,629,1,,海角村木材商人,100,50
杂货铺,1612,0x1,16,429,606,1,,海角村杂货小贩,100,50
书店,1613,0x5,16,406,596,1,,海角村书店老板,100,50
炼药师,1,0x8,16,416,613,1,,炼药师,100,50
药店,1614,0x8,16,414,615,1,,海角村药店掌柜,100,50
服装店,1615,0xa,16,402,612,1,,海角村服装店老板娘,100,50
铁匠,1617,0x6,16,417,596,1,,海角村铁匠,100,50
屠夫,1618,0x7,16,395,615,1,,海角村屠夫,100,50
,,,,,,,,,,
#热砂荒漠外,,,,,,,,,,
红袖,1,0x20,67,232,443,1,,红袖,,
药店掌柜,6701,0x8,67,140,844,1,,热砂荒漠药店掌柜,100,50
神秘旅行者,1,0x1,67,400,300,1,,神秘旅行者,,
阿正,1,0x4,67,141,824,1,,热砂阿正,,
杂货小贩,6702,0x1,67,137,848,1,,热砂荒漠杂货小贩,100,50
武馆教头,1,0xd,67,163,478,1,,武馆教头,,
行商,1,0xd,67,257,464,1,,热砂行商,,
老兵,1,0x00,67,222,444,1,,热砂荒漠老兵,,
彩票员,1,0x1,67,217,411,1,,彩票员,,
珠宝店掌柜,6703,0xc,67,147,483,1,,热砂荒漠首饰店,100,50
木材商人,6704,0x1,67,184,500,1,,热砂荒漠木材商人,100,50
小贩,6705,0x1,67,222,465,1,,热砂荒漠杂货小贩,100,50
客栈掌柜,1,0x2,67,195,485,1,,客栈掌柜,,
书商,6708,0x5,67,237,433,1,,热砂荒漠书店老板,100,50
炼药师,1,0x8,67,157,503,1,,炼药师,,
药材商,6709,0x8,67,235,472,1,,热砂荒漠药店掌柜,100,50
服装店掌柜,6710,0xa,67,207,510,1,,热砂荒漠服装店老板娘,100,50
铁匠,6711,0x6,67,256,445,1,,热砂荒漠铁匠,100,50
屠夫,6712,0x7,67,222,481,1,,热砂荒漠屠夫,100,50
祝福老人,1,0x5,67,227,442,1,,祝福老人,,
江湖公告,1,0x2c,67,221,432,1,,土城江湖公告,,
炼狱入口,1,0x19,67,289,490,1,,炼狱入口,,
,,,,,,,,,,
#热砂内,,,,,,,,,,
珠宝店掌柜,6713,0xc,71,4,11,1,,热砂内首饰店,100,50
客栈老板,6714,0x2,68,11,13,1,,客栈掌柜,,
保管员,1,0x2,69,8,14,1,,客栈掌柜,,
书店老板,6715,0x5,72,9,15,1,,热砂内书店老板,100,50
服装店老板娘,6716,0xa,70,7,13,1,,热砂内服装店老板娘,100,50
铁匠,6717,0x6,73,5,8,1,,热砂内铁匠,100,50
,,,,,,,,,,
#沙城外,,,,,,,,,,
孤独老人,1,0x5,116,150,602,1,,沙城孤独老人,,
*珠宝店掌柜,11601,0xa,116,177,418,1,,沙城外首饰店,100,50
*杂货贩,11602,0x1,116,144,386,1,,沙城外杂货小贩,100,50
*保管员,1,0x2,116,169,402,1,,客栈掌柜,,
*炼药师,1,0x8,116,203,389,1,,炼药师,,
*药商,11603,0x8,116,213,388,1,,沙城外药店掌柜,100,50
*服装店掌柜,11604,0xa,116,192,370,1,,沙城外服装店老板娘,100,50
*铸造师,1,0x6,116,168,346,1,,铸造师,,
*铁匠,11605,0x6,116,173,343,1,,沙城外铁匠,100,50
*屠夫,11606,0x7,116,193,385,1,,沙城外屠夫,100,50
老兵,1,0x00,116,188,415,1,,沙城老兵,,
,,,,,,,,,,
#沙城内,,,,,,,,,,
*珠宝店老板,11607,0xa,121,8,10,1,,沙城内首饰店,100,50
*保管员,1,0x2,122,4,12,1,,客栈掌柜,,
*炼药师,1,0x8,117,6,14,1,,炼药师,,
*药店老板,11608,0x8,117,10,9,1,,沙城内药店掌柜,100,50
*服装店老板娘,1,0xa,118,8,12,1,,沙城内服装店老板娘,100,50
*铸造师,1,0x6,119,8,13,1,,铸造师,,
*铁匠,11609,0x6,119,9,12,1,,沙城内铁匠,100,50
*城堡官员,1,0x0B,123,8,22,1,,城堡官员,,
*沙城守护神,1,0x24,123,16,13,1,,沙城守护神,,
,,,,,,,,,,
#落霞,,,,,,,,,,
老兵,1,0x00,53,253,248,1,,落霞岛老兵,,
船行老板,1,0xd,53,66,130,1,,落霞岛船行老板,,
新手向导,1,0x3,53,248,238,1,,落霞岛新手向导,,
首饰店店员,5301,0xa,53,241,232,1,,落霞首饰店,100,50
建材商人,5302,0x1,53,249,270,1,,落霞木材商人,100,55
杂货小贩,5303,0x1,53,233,255,1,,落霞杂货小贩,100,50
仓库管理员,1,0x2,53,210,237,1,,客栈掌柜,,
书店老板,5304,0x5,53,234,225,1,,落霞书店老板,100,50
炼药师,1,0x8,53,219,269,1,,炼药师,100,50
药店掌柜,5305,0x8,53,222,267,1,,落霞药店掌柜,100,50
服装店老板娘,5306,0xa,53,218,230,1,,落霞服装店老板娘,100,50
铁匠,5307,0x6,53,227,216,1,,落霞铁匠,100,50
屠夫,5308,0x7,53,228,262,1,,落霞屠夫,100,50
江湖公告,1,0x2c,53,256,251,1,,落霞江湖公告,,
王城官员,1,0xB,53,248,251,1,,落霞王城官员,,
,,,,,,,,,,
#禁地外,,,,,,,,,,
屠夫,11401,0x7,144,193,385,1,,禁地屠夫,100,50
戒灵,1,0x1e,144,305,260,1,,戒灵,,
红袖,1,0x20,144,337,260,1,,红袖,,
旅人,1,0xd,144,51,185,1,,旅人,,
老兵,1,0x00,144,340,174,1,,禁地老兵,,
马倌,1,0xd,144,190,308,1,,马倌,,
珠宝店掌柜,14402,0xa,144,352,195,1,,禁地外首饰店,100,50
木材商,11403,0x1,144,193,317,1,,禁地外木材商人,100,50
杂货贩,11404,0x1,144,324,162,1,,禁地外杂货小贩,100,50
保管员,1,0x2,144,316,170,1,,客栈掌柜,,
药商,11505,0x8,144,362,184,1,,禁地外药店掌柜,100,50
服装店掌柜,11506,0xa,144,308,183,1,,禁地外服装店老板娘,100,50
铁匠,11507,0x6,144,340,150,1,,禁地外铁匠,100,50
屠夫,11509,0x7,144,370,178,1,,禁地外屠夫,100,50
江湖公告,1,0x2c,144,354,161,1,,禁地江湖公告,,
,,,,,,,,,,
#禁地内,,,,,,,,,,
珠宝店老板,11510,0xa,147,6,11,1,,禁地内首饰店,100,50
书店老板,11511,0x5,148,6,12,1,,禁地内书店老板,100,50
炼药师,1,0x8,150,2,10,1,,炼药师,,
染房老板,1,0xa,145,6,8,1,,染房老板,,
武器店老板,11512,0x6,149,5,8,1,,禁地内铁匠,100,50
屠夫,11513,0x7,146,8,12,1,,禁地内屠夫,100,50
使者,1,0x5,151,8,14,1,,使者,,
,,,,,,,,,,
#西域奇境外,,,,,,,,,,
红袖,1,0x20,220,465,107,1,,红袖,,
珠宝店掌柜,22001,0xa,220,434,151,1,,西域奇境外首饰店,100,50
杂货商,22002,0x1,220,463,88,1,,西域奇境外杂货小贩,100,50
保管员,1,0x2,220,389,96,1,,客栈掌柜,,
书商,22003,0x5,220,431,56,1,,西域奇境外书店老板,100,50
炼药师,1,0x8,220,486,113,1,,炼药师,,
药材商,22004,0x8,220,493,116,1,,西域奇境外药店掌柜,100,50
服装店掌柜,22005,0xa,220,437,118,1,,西域奇境外服装店老板娘,100,50
铁匠,22006,0x6,220,466,162,1,,西域奇境外铁匠,100,50
屠夫,22007,0x7,220,431,84,1,,西域奇境外屠夫,100,50
老兵,1,0x00,220,462,107,1,,西域奇境老兵,,
江湖公告,1,0x2c,220,467,104,1,,西域江湖公告,,
炼狱之门,1,0x19,220,450,1000,1,0,炼狱入口,,
,,,,,,,,,,
#西域奇境内,,,,,,,,,,
珠宝店老板,22201,0xa,222,10,16,1,,西域奇境内首饰店,100,50
保管员,1,0x2,226,9,15,1,,客栈掌柜,,
书店老板,22202,0x5,227,8,13,1,,西域奇境内书店老板,100,50
服装店老板,22203,0xa,223,7,12,1,,西域奇境内服装店老板娘,100,50
武器店老板,22204,0x6,221,7,9,1,,西域奇境内铁匠,100,50
屠夫,22205,0x7,225,8,11,1,,西域奇境内屠夫,100,50
,,,,,,,,,,
#魔隐村,,,,,,,,,,
命运门,1,0xf,17,75,194,1,,命运门,,
命运门,1,0xf,17,129,43,1,,命运门,,
命运门,1,0xf,17,255,255,1,,命运门,,
千年藤妖,1,0x1e,17,172,115,1,,千年藤妖,,
妖力士,1,0x18,17,187,128,1,,妖力士,,
铁刺魔,1,0x17,17,150,117,1,,铁刺魔,,
炼金魔,1,0x14,17,165,101,1,,炼金魔,,
,,,,,,,,,,
#死水沼泽,,,,,,,,,,
魔像,1,0x24,273,251,260,1,,魔像,,
老兵,1,0x00,273,55,39,1,,死水沼泽老兵,,
王国官员,1,0x5,273,68,43,1,,王国官员,,
仓库保管员,1,0x2,273,47,45,1,,客栈掌柜,,
首饰店掌柜,27301,0xa,273,57,26,1,,死水沼泽首饰店,100,50
杂货铺掌柜,27302,0x1,273,73,31,1,,死水沼泽杂货小贩,100,50
铁匠,27303,0x6,273,43,52,1,,死水沼泽铁匠,100,50
药店掌柜,27304,0x8,273,76,35,1,,死水沼泽药店掌柜,100,50
服装店掌柜,27305,0xa,273,48,31,1,,死水沼泽服装店老板娘,100,50
江湖公告,1,0x2c,273,58,40,1,,死水江湖公告,,
#驯兽师,206,0xa2,273,68,47,1,,驯兽师,,
,,,,,,,,,,
旅人,1,0xd,109,158,368,1,,旅人,,
,,,,,,,,,,
#修罗定天柱,,,,,,,,,,
修罗定天柱,1,0x2d,302,161,135,1,,修罗定天柱,,
,,,,,,,,,,
#海岛,,,,,,,,,,
传送门,1,0xf,164,50,90,1,4,回城传送门,,
传送门,1,0xf,164,116,85,1,4,海岛传送门,,
流浪商人,1,0x1,164,111,80,1,,流浪商人,,
仓库管理员,1,0x2,164,111,88,1,,客栈掌柜,,
传送门,1,0xf,164,125,90,1,4,去魔镜传送门,,
迷之门,1,0x1d,164,117,93,1,4,去迷之门,,
,,,,,,,,,,
#海滨平原,,,,,,,,,,
传送门,1,0xf,171,34,113,1,4,回起点传送门,,
传送门,1,0xf,171,127,67,1,4,海滨平原传送门,,
流浪商人,1,0x1,171,124,69,1,,流浪商人,,
仓库管理员,1,0x2,171,122,61,1,,客栈掌柜,,
,,,,,,,,,,
#密林,,,,,,,,,,
传送门,1,0xf,175,36,96,1,4,回起点传送门,,
传送门,1,0xf,175,170,96,1,4,密林传送门,,
流浪商人,1,0x1,175,166,97,1,,流浪商人,,
仓库管理员,1,0x2,175,167,90,1,,客栈掌柜,,
,,,,,,,,,,
#幽静空间,,,,,,,,,,
传送门,1,0xf,182,140,132,1,4,回起点传送门,,
传送门,1,0xf,182,31,41,1,4,幽静空间传送门,,
流浪商人,1,0x1,182,28,43,1,,流浪商人,,
仓库管理员,1,0x2,182,35,38,1,,客栈掌柜,,
,,,,,,,,,,
#投石谷,,,,,,,,,,
传送门,1,0xf,189,167,90,1,4,回起点传送门,,
传送门,1,0xf,189,88,99,1,4,投石谷传送门,,
流浪商人,1,0x1,189,94,105,1,,流浪商人,,
仓库管理员,1,0x2,189,92,98,1,,客栈掌柜,,
,,,,,,,,,,
#红池,,,,,,,,,,
传送门,1,0xf,199,167,90,1,4,回起点传送门,,
传送门,1,0xf,199,146,61,1,4,红池传送门,,
流浪商人,1,0x1,199,144,63,1,,流浪商人,,
仓库管理员,1,0x2,199,149,67,1,,客栈掌柜,,
,,,,,,,,,,
#炼狱沼泽,,,,,,,,,,
传送门,1,0xf,206,389,45,1,4,炼狱沼泽传送门,,
流浪商人,1,0x1,206,55,39,1,,流浪商人,,
仓库管理员,1,0x2,206,57,39,1,,客栈掌柜,,
传送门,1,0xf,207,389,45,1,4,炼狱沼泽传送门,,
流浪商人,1,0x1,207,55,39,1,,流浪商人,,
仓库管理员,1,0x2,207,57,39,1,,客栈掌柜,,
传送门,1,0xf,208,389,45,1,4,炼狱沼泽传送门,,
流浪商人,1,0x1,208,55,39,1,,流浪商人,,
仓库管理员,1,0x2,208,57,39,1,,客栈掌柜,,
,,,,,,,,,,
#炼狱二层,,,,,,,,,,
传送门,1,0xf,165,67,17,1,4,战士炼狱二层传送门,,
神秘向导,1,0x3,165,74,19,1,,二三神秘向导,,
传送门,1,0xf,166,123,113,1,4,法师炼狱二层传送门,,
神秘向导,1,0x3,166,190,110,1,,二三神秘向导,,
传送门,1,0xf,167,64,86,1,4,道士炼狱二层传送门,,
神秘向导,1,0x3,167,67,91,1,,二三神秘向导,,
,,,,,,,,,,
#炼狱三层,,,,,,,,,,
传送门,1,0xf,168,117,22,1,4,战士炼狱三层传送门,,
神秘向导,1,0x3,168,113,20,1,,二三神秘向导,,
传送门,1,0xf,169,174,314,1,4,法师炼狱三层传送门,,
神秘向导,1,0x3,169,169,312,1,,二三神秘向导,,
传送门,1,0xf,170,161,25,1,4,道士炼狱三层传送门,,
神秘向导,1,0x3,170,166,33,1,,二三神秘向导,,
,,,,,,,,,,
#炼狱五层,,,,,,,,,,
传送门,1,0xf,172,26,225,1,4,战士炼狱五层传送门,,
神秘向导,1,0x3,172,30,221,1,,五神秘向导,,
传送门,1,0xf,173,197,28,1,4,法师炼狱五层传送门,,
神秘向导,1,0x3,173,192,33,1,,五神秘向导,,
传送门,1,0xf,174,33,65,1,4,道士炼狱五层传送门,,
神秘向导,1,0x3,174,28,69,1,,五神秘向导,,
,,,,,,,,,,
#炼狱七层,,,,,,,,,,
传送门,1,0xf,176,37,37,1,4,战士炼狱七层传送门,,
神秘向导,1,0x3,176,41,44,1,,七八神秘向导,,
传送门,1,0xf,177,66,149,1,4,法师炼狱七层传送门,,
神秘向导,1,0x3,177,67,142,1,,七八神秘向导,,
传送门,1,0xf,178,129,69,1,4,道士炼狱七层传送门,,
神秘向导,1,0x3,178,125,65,1,,七八神秘向导,,
,,,,,,,,,,
#炼狱八层,,,,,,,,,,
传送门,1,0xf,179,239,84,1,4,战士炼狱八层传送门,,
神秘向导,1,0x3,179,244,91,1,,七八神秘向导,,
传送门,1,0xf,180,148,114,1,4,法师炼狱八层传送门,,
神秘向导,1,0x3,180,143,114,1,,七八神秘向导,,
传送门,1,0xf,181,205,76,1,4,道士炼狱八层传送门,,
神秘向导,1,0x3,181,201,73,1,,七八神秘向导,,
,,,,,,,,,,
#炼狱十层,,,,,,,,,,
传送门,1,0xf,183,19,69,1,4,战士炼狱十层传送门,,
神秘向导,1,0x3,183,24,64,1,,十十一神秘向导,,
传送门,1,0xf,184,156,187,1,4,法师炼狱十层传送门,,
神秘向导,1,0x3,184,162,184,1,,十十一神秘向导,,
传送门,1,0xf,185,184,130,1,4,道士炼狱十层传送门,,
神秘向导,1,0x3,185,190,134,1,,十十一神秘向导,,
,,,,,,,,,,
#炼狱十一层,,,,,,,,,,
传送门,1,0xf,186,169,209,1,4,战士炼狱十一层传送门,,
神秘向导,1,0x3,186,166,213,1,,十十一神秘向导,,
传送门,1,0xf,187,188,137,1,4,法师炼狱十一层传送门,,
神秘向导,1,0x3,187,196,134,1,,十十一神秘向导,,
传送门,1,0xf,188,33,147,1,4,道士炼狱十一层传送门,,
神秘向导,1,0x3,188,33,147,1,,十十一神秘向导,,
,,,,,,,,,,
#炼狱十三层,,,,,,,,,,
传送门,1,0xf,190,243,50,1,4,战士炼狱十三层传送门,,
神秘向导,1,0x3,190,232,37,1,,十三十四神秘向导,,
传送门,1,0xf,191,95,79,1,4,法师炼狱十三层传送门,,
神秘向导,1,0x3,191,98,74,1,,十三十四神秘向导,,
传送门,1,0xf,192,252,165,1,4,道士炼狱十三层传送门,,
神秘向导,1,0x3,192,258,166,1,,十三十四神秘向导,,
,,,,,,,,,,
#炼狱十四层,,,,,,,,,,
传送门,1,0xf,193,77,55,1,4,战士炼狱十四层传送门,,
神秘向导,1,0x3,193,77,61,1,,十三十四神秘向导,,
传送门,1,0xf,194,81,138,1,4,法师炼狱十四层传送门,,
神秘向导,1,0x3,194,83,134,1,,十三十四神秘向导,,
传送门,1,0xf,195,65,68,1,4,道士炼狱十四层传送门,,
神秘向导,1,0x3,195,70,67,1,,十三十四神秘向导,,
流浪商人,1,0x1,193,82,55,1,,流浪商人,,
流浪商人,1,0x1,194,81,138,1,,流浪商人,,
流浪商人,1,0x1,195,67,61,1,,流浪商人,,
,,,,,,,,,,
#炼狱十五层,,,,,,,,,,
传送门,1,0xf,196,36,164,1,4,战士炼狱十五层传送门,,
神秘向导,1,0x3,196,36,154,1,,十三十四神秘向导,,
传送门,1,0xf,197,125,164,1,4,法师炼狱十五层传送门,,
神秘向导,1,0x3,197,124,172,1,,十三十四神秘向导,,
传送门,1,0xf,198,88,152,1,4,道士炼狱十五层传送门,,
神秘向导,1,0x3,198,93,150,1,,十三十四神秘向导,,
,,,,,,,,,,
#炼狱十七层,,,,,,,,,,
传送门,1,0xf,200,23,136,1,4,战士炼狱十七层传送门,,
神秘向导,1,0x3,200,29,139,1,,十七十八神秘向导,,
传送门,1,0xf,201,39,120,1,4,法师炼狱十七层传送门,,
神秘向导,1,0x3,201,33,121,1,,十七十八神秘向导,,
传送门,1,0xf,202,222,150,1,4,道士炼狱十七层传送门,,
神秘向导,1,0x3,202,219,154,1,,十七十八神秘向导,,
,,,,,,,,,,
#炼狱十八层,,,,,,,,,,
传送门,1,0xf,203,42,99,1,4,战士炼狱十八层传送门,,
神秘向导,1,0x3,203,36,102,1,,十七十八神秘向导,,
传送门,1,0xf,204,159,159,1,4,法师炼狱十八层传送门,,
神秘向导,1,0x3,204,160,152,1,,十七十八神秘向导,,
传送门,1,0xf,205,238,238,1,4,道士炼狱十八层传送门,,
神秘向导,1,0x3,205,245,239,1,,十七十八神秘向导,,
流浪商人,1,0x1,203,36,98,1,,流浪商人,,
流浪商人,1,0x1,204,153,157,1,,流浪商人,,
流浪商人,1,0x1,205,239,244,1,,流浪商人,,
,,,,,,,,,,
#炼狱魔境一层,,,,,,,,,,
传送门,1,0xf,209,85,194,1,4,魔境传送门,,
,,,,,,,,,,
#炼狱魔境二层,,,,,,,,,,
传送门,1,0xf,210,203,174,1,4,魔境传送门,,
,,,,,,,,,,
#炼狱魔境三层,,,,,,,,,,
传送门,1,0xf,211,121,126,1,4,魔境传送门,,
,,,,,,,,,,
#炼狱魔境四层,,,,,,,,,,
传送门,1,0xf,212,348,283,1,4,魔境传送门,,
,,,,,,,,,,
#魔镜沼泽,,,,,,,,,,
传送门,1,0xf,213,51,41,1,4,魔境传送门,,
,,,,,,,,,,
#炼狱魔境六层,,,,,,,,,,
传送门,1,0xf,214,47,35,1,4,回起点传送门,,
流浪商人,1,0x1,214,33,26,1,,流浪商人,,
仓库管理员,1,0x2,214,38,27,1,,客栈掌柜,,
,,,,,,,,,,
#炼狱魔境七层,,,,,,,,,,
传送门,1,0xf,215,80,71,1,4,炼狱魔境七层传送门,,
,,,,,,,,,,
#炼狱魔境八层,,,,,,,,,,
传送门,1,0xf,216,132,40,1,4,炼狱魔境八层传送门1,,
传送门,1,0xf,216,160,202,1,4,炼狱魔境八层传送门2,,
传送门,1,0xf,216,111,111,1,4,炼狱魔境八层传送门3,,
,,,,,,,,,,
#炼狱魔境九层,,,,,,,,,,
传送门,1,0xf,217,139,250,1,4,炼狱魔境九层传送门1,,
传送门,1,0xf,217,260,132,1,4,炼狱魔境九层传送门2,,
传送门,1,0xf,217,205,192,1,4,炼狱魔境九层传送门3,,
,,,,,,,,,,
#炼狱魔境十层,,,,,,,,,,
传送门,1,0xf,218,107,180,1,4,炼狱魔境十层传送门,,
,,,,,,,,,,
#桃园,,,,,,,,,,
传送门,1,0xf,219,129,142,1,4,桃园传送门1,,
传送门,1,0xf,219,139,124,1,4,桃园传送门2,,
流浪商人,1,0x1,219,134,118,1,,流浪商人,,
,,,,,,,,,,
#炼狱活动,,,,,,,,,,
传送门,1,0xf,993,59,57,1,4,魔境传送门,,
,,,,,,,,,,
#炼狱魔城,,,,,,,,,,
传送门,1,0xf,303,192,31,1,4,炼狱魔城战士一进二传送门,,
传送门,1,0xf,304,192,31,1,4,炼狱魔城法师一进二传送门,,
传送门,1,0xf,305,192,31,1,4,炼狱魔城道士一进二传送门,,
传送门,1,0xf,306,232,43,1,4,炼狱魔城战士二进三传送门,,
传送门,1,0xf,307,232,43,1,4,炼狱魔城法师二进三传送门,,
传送门,1,0xf,308,232,43,1,4,炼狱魔城道士二进三传送门,,
传送门,1,0xf,309,322,79,1,4,炼狱魔城三回海传送门,,
传送门,1,0xf,310,322,79,1,4,炼狱魔城三回海传送门,,
传送门,1,0xf,311,322,79,1,4,炼狱魔城三回海传送门,,
,,,,,,,,,,
传送门,1,0xf,303,79,229,1,4,炼狱魔城一层返回传送门,,
传送门,1,0xf,304,79,229,1,4,炼狱魔城一层返回传送门,,
传送门,1,0xf,305,79,229,1,4,炼狱魔城一层返回传送门,,
传送门,1,0xf,306,39,257,1,4,炼狱魔城战士二层返回传送门,,
传送门,1,0xf,307,39,257,1,4,炼狱魔城法师二层返回传送门,,
传送门,1,0xf,308,39,257,1,4,炼狱魔城道士二层返回传送门,,
传送门,1,0xf,309,196,283,1,4,炼狱魔城战士三层返回传送门,,
传送门,1,0xf,310,196,283,1,4,炼狱魔城法师三层返回传送门,,
传送门,1,0xf,311,196,283,1,4,炼狱魔城道士三层返回传送门,,
,,,,,,,,,,
魔环,1,0x1d,284,78,75,1,4,魔环,,
传送门,1,0xf,286,226,213,1,4,魔城传送门,,
,,,,,,,,,,
#环道,,,,,,,,,,
寒冰真气,334,0x1d,108,375,277,1,4,环道传送,,
冰道入口,335,0x1d,130,34,60,1,4,环道传送,,
#玄冰古道东36：62,,,,,,,,,,
,,,,,,,,,,
#百虫穴,,,,,,,,,,
旅人,337,0xd,109,158,368,1,,百虫穴旅人,,
,,,,,,,,,,
#铁血令任务（所有形象暂用魔像）,,,,,,,,,,
;尸卫战将,338,0x1a,45,100,130,1,,将军坟三层,,
;铜人,339,0x1b,98,130,120,1,,角斗场,,
;白蛇妖,340,0x14,114,68,168,1,,五蛇殿,,
;逆魔弓箭手,341,0x1c,133,280,220,1,,逆魔三层,,
;藤妖,342,0x1e,157,77,174,1,,生死门,,
;招魂使,343,0x16,239,158,81,1,,通天塔八层,,
;魔神雕像,344,0x24,277,172,62,1,,地下魔域四层,,
,,,,,,,,,,
#修罗神殿,,,,,,,,,,
修罗定天柱,345,0x2d,302,161,136,1,,修罗定天柱,,
#魔殿,,,,,,,,,,
魔像,346,0x24,282,30,117,1,,魔殿魔像,,
,,,,,,,,,,
#军机密令任务,,,,,,,,,,
尸卫战将,4501,0x1a,45,103,122,1,,将军坟三层,,
铜人,9801,0x1b,98,128,119,1,,角斗场,,
